#class tools::histo::h1d
#title Total number of detected op
#dimension 1
#axis edges 0 0.9 5.1 10.1 15.1 20.1 25.1 30.1 35.1 40.1 45.1 50.1 55.1 60.1 65.1 70.1 75.1 80.1 85.1 90.1 95.1 100.1 105.1 110.1 115.1 120.1 125.1 130.1 135.1 140.1 145.1 150.1 155.1 160.1 165.1 170.1 175.1 180.1 185.1 190.1 195.1 200.1 205.1 210.1 215.1 220.1 225.1 230.1 235.1 240.1 245.1 250.1 255.1 260.1 265.1 270.1 275.1 280.1 285.1 290.1 295.1 300.1 305.1 310.1 315.1 320.1 325.1 330.1 335.1 340.1 345.1 350.1 355.1 360.1 365.1 370.1 375.1 380.1 385.1 390.1 395.1 400.1 405.1 410.1 415.1 420.1 425.1 430.1 435.1 440.1 445.1 450.1 455.1 460.1 465.1 470.1 475.1 480.1 485.1 490.1 495.1 500.1 505.1 510.1 515.1 520.1 525.1 530.1 535.1 540.1 545.1 550.1 555.1 560.1 565.1 570.1 575.1 580.1 585.1 590.1 595.1 600.1 605.1 610.1 615.1 620.1 625.1 630.1 635.1 640.1 645.1 650.1 655.1 660.1 665.1 670.1 675.1 680.1 685.1 690.1 695.1 700.1 705.1 710.1 715.1 720.1 725.1 730.1 735.1 740.1 745.1 750.1 755.1 760.1 765.1 770.1 775.1 780.1 785.1 790.1 795.1 800.1 805.1 810.1 815.1 820.1 825.1 830.1 835.1 840.1 845.1 850.1 855.1 860.1 865.1 870.1 875.1 880.1 885.1 890.1 895.1 900.1 905.1 910.1 915.1 920.1 925.1 930.1 935.1 940.1 945.1 950.1 955.1 960.1 965.1 970.1 975.1 980.1 985.1 990.1 995.1 1000.1 1005.1 1010.1 1015.1 1020.1 1025.1 1030.1 1035.1 1040.1 1045.1 1050.1 1055.1 1060.1 1065.1 1070.1 1075.1 1080.1 1085.1 1090.1 1095.1 1100.1 1105.1 1110.1 1115.1 1120.1 1125.1 1130.1 1135.1 1140.1 1145.1 1150.1 1155.1 1160.1 1165.1 1170.1 1175.1 1180.1 1185.1 1190.1 1195.1 1200.1 1205.1 1210.1 1215.1 1220.1 1225.1 1230.1 1235.1 1240.1 1245.1 1250.1 1255.1 1260.1 1265.1 1270.1 1275.1 1280.1 1285.1 1290.1 1295.1 1300.1 1305.1 1310.1 1315.1 1320.1 1325.1 1330.1 1335.1 1340.1 1345.1 1350.1 1355.1 1360.1 1365.1 1370.1 1375.1 1380.1 1385.1 1390.1 1395.1 1400.1 1405.1 1410.1 1415.1 1420.1 1425.1 1430.1 1435.1 1440.1 1445.1 1450.1 1455.1 1460.1 1465.1 1470.1 1475.1 1480.1 1485.1 1490.1 1495.1 1500.1 1505.1 1510.1 1515.1 1520.1 1525.1 1530.1 1535.1 1540.1 1545.1 1550.1 1555.1 1560.1 1565.1 1570.1 1575.1 1580.1 1585.1 1590.1 1595.1 1600.1 1605.1 1610.1 1615.1 1620.1 1625.1 1630.1 1635.1 1640.1 1645.1 1650.1 1655.1 1660.1 1665.1 1670.1 1675.1 1680.1 1685.1 1690.1 1695.1 1700.1 1705.1 1710.1 1715.1 1720.1 1725.1 1730.1 1735.1 1740.1 1745.1 1750.1 1755.1 1760.1 1765.1 1770.1 1775.1 1780.1 1785.1 1790.1 1795.1 1800.1 1805.1 1810.1 1815.1 1820.1 1825.1 1830.1 1835.1 1840.1 1845.1 1850.1 1855.1 1860.1 1865.1 1870.1 1875.1 1880.1 1885.1 1890.1 1895.1 1900.1 1905.1 1910.1 1915.1 1920.1 1925.1 1930.1 1935.1 1940.1 1945.1 1950.1 1955.1 1960.1 1965.1 1970.1 1975.1 1980.1 1985.1 1990.1 1995.1 2000.1
#annotation axis_x.title 
#bin_number 403
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
6900065,6.90006e+06,6.90006e+06,0,0
5872899,5.8729e+06,5.8729e+06,1.57687e+07,5.41835e+07
3708037,3.70804e+06,3.70804e+06,2.92867e+07,2.38736e+08
3026660,3.02666e+06,3.02666e+06,3.91507e+07,5.12479e+08
2619494,2.61949e+06,2.61949e+06,4.70121e+07,8.4897e+08
2320020,2.32002e+06,2.32002e+06,5.32529e+07,1.22699e+09
2079675,2.07968e+06,2.07968e+06,5.81428e+07,1.62969e+09
1878756,1.87876e+06,1.87876e+06,6.19237e+07,2.04475e+09
1711872,1.71187e+06,1.71187e+06,6.49885e+07,2.4706e+09
1560616,1.56062e+06,1.56062e+06,6.70508e+07,2.88391e+09
1428287,1.42829e+06,1.42829e+06,6.85089e+07,3.28894e+09
1308919,1.30892e+06,1.30892e+06,6.93279e+07,3.67462e+09
1201221,1.20122e+06,1.20122e+06,6.96298e+07,4.03855e+09
1106513,1.10651e+06,1.10651e+06,6.96714e+07,4.38906e+09
1017456,1.01746e+06,1.01746e+06,6.91544e+07,4.70231e+09
936172,936172,936172,6.83084e+07,4.98604e+09
862635,862635,862635,6.72595e+07,5.24594e+09
794866,794866,794866,6.59475e+07,5.47303e+09
731973,731973,731973,6.43861e+07,5.66502e+09
674733,674733,674733,6.27274e+07,5.83288e+09
622189,622189,622189,6.09548e+07,5.97288e+09
574490,574490,574490,5.91537e+07,6.09205e+09
531601,531601,531601,5.73967e+07,6.19815e+09
488738,488738,488738,5.52135e+07,6.23852e+09
450602,450602,450602,5.31567e+07,6.27169e+09
418057,418057,418057,5.14071e+07,6.3222e+09
384105,384105,384105,4.91525e+07,6.29063e+09
355869,355869,355869,4.73196e+07,6.29277e+09
329744,329744,329744,4.54941e+07,6.27738e+09
303970,303970,303970,4.3459e+07,6.214e+09
281712,281712,281712,4.16838e+07,6.16834e+09
259666,259666,259666,3.9722e+07,6.07694e+09
240193,240193,240193,3.79433e+07,5.9944e+09
222915,222915,222915,3.63276e+07,5.92062e+09
205337,205337,205337,3.44899e+07,5.79358e+09
190352,190352,190352,3.29244e+07,5.69518e+09
176390,176390,176390,3.13923e+07,5.58727e+09
162856,162856,162856,2.97977e+07,5.45238e+09
150657,150657,150657,2.83193e+07,5.32355e+09
139642,139642,139642,2.6947e+07,5.20029e+09
129513,129513,129513,2.56392e+07,5.07596e+09
120829,120829,120829,2.45253e+07,4.97827e+09
111648,111648,111648,2.32196e+07,4.82925e+09
103140,103140,103140,2.19657e+07,4.67823e+09
95448,95448,95448,2.08048e+07,4.53501e+09
88318,88318,88318,1.96923e+07,4.39098e+09
81525,81525,81525,1.85859e+07,4.23733e+09
76260,76260,76260,1.77665e+07,4.13926e+09
70217,70217,70217,1.67098e+07,3.97663e+09
65115,65115,65115,1.58211e+07,3.84421e+09
60565,60565,60565,1.50182e+07,3.72413e+09
56119,56119,56119,1.41965e+07,3.59144e+09
52169,52169,52169,1.34573e+07,3.4715e+09
48493,48493,48493,1.2752e+07,3.35343e+09
44556,44556,44556,1.194e+07,3.19974e+09
41427,41427,41427,1.13078e+07,3.08661e+09
38867,38867,38867,1.08037e+07,3.00312e+09
35896,35896,35896,1.01572e+07,2.87417e+09
32751,32751,32751,9.4312e+06,2.71594e+09
30906,30906,30906,9.05435e+06,2.65266e+09
28340,28340,28340,8.44474e+06,2.51641e+09
26390,26390,26390,7.99561e+06,2.42255e+09
24576,24576,24576,7.5688e+06,2.33105e+09
22961,22961,22961,7.18598e+06,2.249e+09
21287,21287,21287,6.76862e+06,2.15225e+09
19596,19596,19596,6.3287e+06,2.04395e+09
17896,17896,17896,5.86938e+06,1.92503e+09
17146,17146,17146,5.70897e+06,1.90091e+09
15749,15749,15749,5.32231e+06,1.79869e+09
