#class tools::histo::h1d
#title Total number of detected op
#dimension 1
#axis edges 0 0.9 5.1 10.1 15.1 20.1 25.1 30.1 35.1 40.1 45.1 50.1 55.1 60.1 65.1 70.1 75.1 80.1 85.1 90.1 95.1 100.1 105.1 110.1 115.1 120.1 125.1 130.1 135.1 140.1 145.1 150.1 155.1 160.1 165.1 170.1 175.1 180.1 185.1 190.1 195.1 200.1 205.1 210.1 215.1 220.1 225.1 230.1 235.1 240.1 245.1 250.1 255.1 260.1 265.1 270.1 275.1 280.1 285.1 290.1 295.1 300.1 305.1 310.1 315.1 320.1 325.1 330.1 335.1 340.1 345.1 350.1 355.1 360.1 365.1 370.1 375.1 380.1 385.1 390.1 395.1 400.1 405.1 410.1 415.1 420.1 425.1 430.1 435.1 440.1 445.1 450.1 455.1 460.1 465.1 470.1 475.1 480.1 485.1 490.1 495.1 500.1 505.1 510.1 515.1 520.1 525.1 530.1 535.1 540.1 545.1 550.1 555.1 560.1 565.1 570.1 575.1 580.1 585.1 590.1 595.1 600.1 605.1 610.1 615.1 620.1 625.1 630.1 635.1 640.1 645.1 650.1 655.1 660.1 665.1 670.1 675.1 680.1 685.1 690.1 695.1 700.1 705.1 710.1 715.1 720.1 725.1 730.1 735.1 740.1 745.1 750.1 755.1 760.1 765.1 770.1 775.1 780.1 785.1 790.1 795.1 800.1 805.1 810.1 815.1 820.1 825.1 830.1 835.1 840.1 845.1 850.1 855.1 860.1 865.1 870.1 875.1 880.1 885.1 890.1 895.1 900.1 905.1 910.1 915.1 920.1 925.1 930.1 935.1 940.1 945.1 950.1 955.1 960.1 965.1 970.1 975.1 980.1 985.1 990.1 995.1 1000.1 1005.1 1010.1 1015.1 1020.1 1025.1 1030.1 1035.1 1040.1 1045.1 1050.1 1055.1 1060.1 1065.1 1070.1 1075.1 1080.1 1085.1 1090.1 1095.1 1100.1 1105.1 1110.1 1115.1 1120.1 1125.1 1130.1 1135.1 1140.1 1145.1 1150.1 1155.1 1160.1 1165.1 1170.1 1175.1 1180.1 1185.1 1190.1 1195.1 1200.1 1205.1 1210.1 1215.1 1220.1 1225.1 1230.1 1235.1 1240.1 1245.1 1250.1 1255.1 1260.1 1265.1 1270.1 1275.1 1280.1 1285.1 1290.1 1295.1 1300.1 1305.1 1310.1 1315.1 1320.1 1325.1 1330.1 1335.1 1340.1 1345.1 1350.1 1355.1 1360.1 1365.1 1370.1 1375.1 1380.1 1385.1 1390.1 1395.1 1400.1 1405.1 1410.1 1415.1 1420.1 1425.1 1430.1 1435.1 1440.1 1445.1 1450.1 1455.1 1460.1 1465.1 1470.1 1475.1 1480.1 1485.1 1490.1 1495.1 1500.1 1505.1 1510.1 1515.1 1520.1 1525.1 1530.1 1535.1 1540.1 1545.1 1550.1 1555.1 1560.1 1565.1 1570.1 1575.1 1580.1 1585.1 1590.1 1595.1 1600.1 1605.1 1610.1 1615.1 1620.1 1625.1 1630.1 1635.1 1640.1 1645.1 1650.1 1655.1 1660.1 1665.1 1670.1 1675.1 1680.1 1685.1 1690.1 1695.1 1700.1 1705.1 1710.1 1715.1 1720.1 1725.1 1730.1 1735.1 1740.1 1745.1 1750.1 1755.1 1760.1 1765.1 1770.1 1775.1 1780.1 1785.1 1790.1 1795.1 1800.1 1805.1 1810.1 1815.1 1820.1 1825.1 1830.1 1835.1 1840.1 1845.1 1850.1 1855.1 1860.1 1865.1 1870.1 1875.1 1880.1 1885.1 1890.1 1895.1 1900.1 1905.1 1910.1 1915.1 1920.1 1925.1 1930.1 1935.1 1940.1 1945.1 1950.1 1955.1 1960.1 1965.1 1970.1 1975.1 1980.1 1985.1 1990.1 1995.1 2000.1
#annotation axis_x.title 
#bin_number 403
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9943783,9.94378e+06,9.94378e+06,0,0
6382,6382,6382,17883,62849
4098,4098,4098,32167,260635
2938,2938,2938,37794,492000
2258,2258,2258,40462,729534
1680,1680,1680,38418,881882
1395,1395,1395,38911,1.08827e+06
1131,1131,1131,37220,1.22716e+06
1062,1062,1062,40310,1.53219e+06
828,828,828,35600,1.53226e+06
726,726,726,34773,1.66692e+06
657,657,657,34711,1.83514e+06
586,586,586,33965,1.96979e+06
524,524,524,32949,2.0729e+06
482,482,482,32759,2.22744e+06
477,477,477,34798,2.53952e+06
424,424,424,33006,2.57022e+06
394,394,394,32642,2.70511e+06
373,373,373,32813,2.88734e+06
320,320,320,29735,2.76367e+06
338,338,338,33135,3.24899e+06
299,299,299,30780,3.1692e+06
242,242,242,26115,2.81861e+06
264,264,264,29827,3.37046e+06
222,222,222,26172,3.08587e+06
211,211,211,25928,3.18644e+06
182,182,182,23281,2.97839e+06
216,216,216,28734,3.82279e+06
185,185,185,25538,3.52572e+06
198,198,198,28316,4.04991e+06
190,190,190,28111,4.15949e+06
169,169,169,25867,3.95956e+06
143,143,143,22565,3.56096e+06
162,162,162,26423,4.31005e+06
169,169,169,28409,4.77593e+06
167,167,167,28914,5.00646e+06
167,167,167,29712,5.28657e+06
139,139,139,25445,4.65817e+06
178,178,178,33471,6.2942e+06
167,167,167,32256,6.23055e+06
147,147,147,29112,5.76566e+06
129,129,129,26184,5.31503e+06
141,141,141,29336,6.10384e+06
125,125,125,26607,5.66369e+06
162,162,162,35323,7.70221e+06
147,147,147,32780,7.31002e+06
154,154,154,35099,7.99991e+06
146,146,146,34019,7.92692e+06
141,141,141,33553,7.98468e+06
133,133,133,32307,7.84797e+06
173,173,173,42929,1.0653e+07
137,137,137,34646,8.7619e+06
139,139,139,35846,9.24442e+06
153,153,153,40237,1.05821e+07
146,146,146,39132,1.04887e+07
141,141,141,38502,1.05138e+07
141,141,141,39180,1.08873e+07
134,134,134,37943,1.07441e+07
150,150,150,43225,1.24563e+07
134,134,134,39261,1.15035e+07
154,154,154,45867,1.36612e+07
147,147,147,44527,1.34878e+07
167,167,167,51478,1.58685e+07
146,146,146,45702,1.43062e+07
147,147,147,46748,1.48668e+07
172,172,172,55517,1.79197e+07
131,131,131,42980,1.41016e+07
143,143,143,47615,1.58547e+07
139,139,139,46991,1.58863e+07
133,133,133,45611,1.56421e+07
148,148,148,51524,1.79376e+07
129,129,129,45522,1.60642e+07
138,138,138,49402,1.76854e+07
152,152,152,55158,2.00161e+07
139,139,139,51151,1.88235e+07
138,138,138,51460,1.91896e+07
142,142,142,53683,2.02951e+07
142,142,142,54374,2.08209e+07
157,157,157,60933,2.36489e+07
138,138,138,54256,2.13315e+07
136,136,136,54110,2.15289e+07
152,152,152,61275,2.47018e+07
159,159,159,64881,2.64755e+07
158,158,158,65251,2.69477e+07
155,155,155,64781,2.7075e+07
151,151,151,63869,2.70152e+07
152,152,152,65057,2.78451e+07
156,156,156,67534,2.92364e+07
143,143,143,62636,2.74358e+07
145,145,145,64221,2.8444e+07
165,165,165,73956,3.31487e+07
149,149,149,67487,3.05673e+07
141,141,141,64583,2.95816e+07
156,156,156,72241,3.34539e+07
137,137,137,64119,3.00094e+07
140,140,140,66229,3.13308e+07
141,141,141,67396,3.22146e+07
136,136,136,65655,3.16957e+07
141,141,141,68794,3.35649e+07
130,130,130,64081,3.15877e+07
153,153,153,76194,3.79449e+07
149,149,149,74954,3.77057e+07
123,123,123,62491,3.17492e+07
139,139,139,71297,3.65705e+07
149,149,149,77170,3.99681e+07
173,173,173,90480,4.73219e+07
130,130,130,68625,3.62263e+07
152,152,152,81030,4.31968e+07
156,156,156,83955,4.51826e+07
134,134,134,72784,3.95339e+07
