#class tools::histo::h1d
#title Total number of detected op
#dimension 1
#axis edges 0 0.9 5.1 10.1 15.1 20.1 25.1 30.1 35.1 40.1 45.1 50.1 55.1 60.1 65.1 70.1 75.1 80.1 85.1 90.1 95.1 100.1 105.1 110.1 115.1 120.1 125.1 130.1 135.1 140.1 145.1 150.1 155.1 160.1 165.1 170.1 175.1 180.1 185.1 190.1 195.1 200.1 205.1 210.1 215.1 220.1 225.1 230.1 235.1 240.1 245.1 250.1 255.1 260.1 265.1 270.1 275.1 280.1 285.1 290.1 295.1 300.1 305.1 310.1 315.1 320.1 325.1 330.1 335.1 340.1 345.1 350.1 355.1 360.1 365.1 370.1 375.1 380.1 385.1 390.1 395.1 400.1 405.1 410.1 415.1 420.1 425.1 430.1 435.1 440.1 445.1 450.1 455.1 460.1 465.1 470.1 475.1 480.1 485.1 490.1 495.1 500.1 505.1 510.1 515.1 520.1 525.1 530.1 535.1 540.1 545.1 550.1 555.1 560.1 565.1 570.1 575.1 580.1 585.1 590.1 595.1 600.1 605.1 610.1 615.1 620.1 625.1 630.1 635.1 640.1 645.1 650.1 655.1 660.1 665.1 670.1 675.1 680.1 685.1 690.1 695.1 700.1 705.1 710.1 715.1 720.1 725.1 730.1 735.1 740.1 745.1 750.1 755.1 760.1 765.1 770.1 775.1 780.1 785.1 790.1 795.1 800.1 805.1 810.1 815.1 820.1 825.1 830.1 835.1 840.1 845.1 850.1 855.1 860.1 865.1 870.1 875.1 880.1 885.1 890.1 895.1 900.1 905.1 910.1 915.1 920.1 925.1 930.1 935.1 940.1 945.1 950.1 955.1 960.1 965.1 970.1 975.1 980.1 985.1 990.1 995.1 1000.1 1005.1 1010.1 1015.1 1020.1 1025.1 1030.1 1035.1 1040.1 1045.1 1050.1 1055.1 1060.1 1065.1 1070.1 1075.1 1080.1 1085.1 1090.1 1095.1 1100.1 1105.1 1110.1 1115.1 1120.1 1125.1 1130.1 1135.1 1140.1 1145.1 1150.1 1155.1 1160.1 1165.1 1170.1 1175.1 1180.1 1185.1 1190.1 1195.1 1200.1 1205.1 1210.1 1215.1 1220.1 1225.1 1230.1 1235.1 1240.1 1245.1 1250.1 1255.1 1260.1 1265.1 1270.1 1275.1 1280.1 1285.1 1290.1 1295.1 1300.1 1305.1 1310.1 1315.1 1320.1 1325.1 1330.1 1335.1 1340.1 1345.1 1350.1 1355.1 1360.1 1365.1 1370.1 1375.1 1380.1 1385.1 1390.1 1395.1 1400.1 1405.1 1410.1 1415.1 1420.1 1425.1 1430.1 1435.1 1440.1 1445.1 1450.1 1455.1 1460.1 1465.1 1470.1 1475.1 1480.1 1485.1 1490.1 1495.1 1500.1 1505.1 1510.1 1515.1 1520.1 1525.1 1530.1 1535.1 1540.1 1545.1 1550.1 1555.1 1560.1 1565.1 1570.1 1575.1 1580.1 1585.1 1590.1 1595.1 1600.1 1605.1 1610.1 1615.1 1620.1 1625.1 1630.1 1635.1 1640.1 1645.1 1650.1 1655.1 1660.1 1665.1 1670.1 1675.1 1680.1 1685.1 1690.1 1695.1 1700.1 1705.1 1710.1 1715.1 1720.1 1725.1 1730.1 1735.1 1740.1 1745.1 1750.1 1755.1 1760.1 1765.1 1770.1 1775.1 1780.1 1785.1 1790.1 1795.1 1800.1 1805.1 1810.1 1815.1 1820.1 1825.1 1830.1 1835.1 1840.1 1845.1 1850.1 1855.1 1860.1 1865.1 1870.1 1875.1 1880.1 1885.1 1890.1 1895.1 1900.1 1905.1 1910.1 1915.1 1920.1 1925.1 1930.1 1935.1 1940.1 1945.1 1950.1 1955.1 1960.1 1965.1 1970.1 1975.1 1980.1 1985.1 1990.1 1995.1 2000.1
#annotation axis_x.title 
#bin_number 403
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
7559552,7.55955e+06,7.55955e+06,0,0
8941403,8.9414e+06,8.9414e+06,2.40832e+07,8.28221e+07
5454130,5.45413e+06,5.45413e+06,4.29224e+07,3.48675e+08
4121001,4.121e+06,4.121e+06,5.31723e+07,6.94295e+08
3295560,3.29556e+06,3.29556e+06,5.90511e+07,1.06469e+09
2716116,2.71612e+06,2.71612e+06,6.22756e+07,1.4333e+09
2278082,2.27808e+06,2.27808e+06,6.36353e+07,1.78212e+09
1934786,1.93479e+06,1.93479e+06,6.37256e+07,2.10278e+09
1662700,1.6627e+06,1.6627e+06,6.30847e+07,2.39683e+09
1433706,1.43371e+06,1.43371e+06,6.15666e+07,2.64668e+09
1243352,1.24335e+06,1.24335e+06,5.96111e+07,2.86047e+09
1083107,1.08311e+06,1.08311e+06,5.73449e+07,3.03828e+09
941367,941367,941367,5.45473e+07,3.16262e+09
825440,825440,825440,5.196e+07,3.27245e+09
722825,722825,722825,4.91152e+07,3.33878e+09
634952,634952,634952,4.63188e+07,3.38015e+09
557924,557924,557924,4.34894e+07,3.39105e+09
490917,490917,490917,4.07211e+07,3.37876e+09
434227,434227,434227,3.81895e+07,3.35956e+09
382829,382829,382829,3.55853e+07,3.30854e+09
339638,339638,339638,3.32674e+07,3.2592e+09
302135,302135,302135,3.1105e+07,3.20289e+09
267537,267537,267537,2.8883e+07,3.11872e+09
237680,237680,237680,2.68464e+07,3.03282e+09
211830,211830,211830,2.49853e+07,2.94744e+09
189423,189423,189423,2.32905e+07,2.86407e+09
168348,168348,168348,2.15408e+07,2.75656e+09
150960,150960,150960,2.00712e+07,2.6689e+09
134474,134474,134474,1.85513e+07,2.55951e+09
120793,120793,120793,1.72682e+07,2.46886e+09
108370,108370,108370,1.60337e+07,2.37245e+09
97080,97080,97080,1.48495e+07,2.27158e+09
87146,87146,87146,1.37655e+07,2.17456e+09
78470,78470,78470,1.27873e+07,2.08395e+09
71176,71176,71176,1.1955e+07,2.00814e+09
64169,64169,64169,1.10982e+07,1.9196e+09
57809,57809,57809,1.02878e+07,1.83094e+09
52585,52585,52585,9.62044e+06,1.76017e+09
47227,47227,47227,8.87673e+06,1.66855e+09
43336,43336,43336,8.36219e+06,1.61367e+09
39324,39324,39324,7.78438e+06,1.54103e+09
35442,35442,35442,7.19384e+06,1.46024e+09
32032,32032,32032,6.66163e+06,1.38547e+09
29453,29453,29453,6.27218e+06,1.33575e+09
26494,26494,26494,5.7745e+06,1.25864e+09
24101,24101,24101,5.37394e+06,1.19831e+09
22127,22127,22127,5.04451e+06,1.15009e+09
20228,20228,20228,4.71262e+06,1.09796e+09
18663,18663,18663,4.44096e+06,1.05679e+09
16776,16776,16776,4.07588e+06,9.90308e+08
15427,15427,15427,3.82563e+06,9.4872e+08
14385,14385,14385,3.6388e+06,9.20491e+08
12963,12963,12963,3.34429e+06,8.62808e+08
11931,11931,11931,3.13771e+06,8.25205e+08
11147,11147,11147,2.98698e+06,8.00423e+08
9940,9940,9940,2.71317e+06,7.40594e+08
9292,9292,9292,2.58296e+06,7.18019e+08
8330,8330,8330,2.35725e+06,6.67079e+08
7812,7812,7812,2.24965e+06,6.47854e+08
7267,7267,7267,2.12903e+06,6.23759e+08
6724,6724,6724,2.00341e+06,5.9693e+08
5976,5976,5976,1.8104e+06,5.48466e+08
5547,5547,5547,1.70825e+06,5.26082e+08
5079,5079,5079,1.58945e+06,4.97422e+08
4727,4727,4727,1.50296e+06,4.77879e+08
4432,4432,4432,1.4314e+06,4.62308e+08
4119,4119,4119,1.35103e+06,4.43143e+08
3761,3761,3761,1.25222e+06,4.16936e+08
3390,3390,3390,1.14572e+06,3.87224e+08
3266,3266,3266,1.12021e+06,3.84227e+08
