#class tools::histo::h1d
#title Total number of detected op
#dimension 1
#axis edges 0 0.9 5.1 10.1 15.1 20.1 25.1 30.1 35.1 40.1 45.1 50.1 55.1 60.1 65.1 70.1 75.1 80.1 85.1 90.1 95.1 100.1 105.1 110.1 115.1 120.1 125.1 130.1 135.1 140.1 145.1 150.1 155.1 160.1 165.1 170.1 175.1 180.1 185.1 190.1 195.1 200.1 205.1 210.1 215.1 220.1 225.1 230.1 235.1 240.1 245.1 250.1 255.1 260.1 265.1 270.1 275.1 280.1 285.1 290.1 295.1 300.1 305.1 310.1 315.1 320.1 325.1 330.1 335.1 340.1 345.1 350.1 355.1 360.1 365.1 370.1 375.1 380.1 385.1 390.1 395.1 400.1 405.1 410.1 415.1 420.1 425.1 430.1 435.1 440.1 445.1 450.1 455.1 460.1 465.1 470.1 475.1 480.1 485.1 490.1 495.1 500.1 505.1 510.1 515.1 520.1 525.1 530.1 535.1 540.1 545.1 550.1 555.1 560.1 565.1 570.1 575.1 580.1 585.1 590.1 595.1 600.1 605.1 610.1 615.1 620.1 625.1 630.1 635.1 640.1 645.1 650.1 655.1 660.1 665.1 670.1 675.1 680.1 685.1 690.1 695.1 700.1 705.1 710.1 715.1 720.1 725.1 730.1 735.1 740.1 745.1 750.1 755.1 760.1 765.1 770.1 775.1 780.1 785.1 790.1 795.1 800.1 805.1 810.1 815.1 820.1 825.1 830.1 835.1 840.1 845.1 850.1 855.1 860.1 865.1 870.1 875.1 880.1 885.1 890.1 895.1 900.1 905.1 910.1 915.1 920.1 925.1 930.1 935.1 940.1 945.1 950.1 955.1 960.1 965.1 970.1 975.1 980.1 985.1 990.1 995.1 1000.1 1005.1 1010.1 1015.1 1020.1 1025.1 1030.1 1035.1 1040.1 1045.1 1050.1 1055.1 1060.1 1065.1 1070.1 1075.1 1080.1 1085.1 1090.1 1095.1 1100.1 1105.1 1110.1 1115.1 1120.1 1125.1 1130.1 1135.1 1140.1 1145.1 1150.1 1155.1 1160.1 1165.1 1170.1 1175.1 1180.1 1185.1 1190.1 1195.1 1200.1 1205.1 1210.1 1215.1 1220.1 1225.1 1230.1 1235.1 1240.1 1245.1 1250.1 1255.1 1260.1 1265.1 1270.1 1275.1 1280.1 1285.1 1290.1 1295.1 1300.1 1305.1 1310.1 1315.1 1320.1 1325.1 1330.1 1335.1 1340.1 1345.1 1350.1 1355.1 1360.1 1365.1 1370.1 1375.1 1380.1 1385.1 1390.1 1395.1 1400.1 1405.1 1410.1 1415.1 1420.1 1425.1 1430.1 1435.1 1440.1 1445.1 1450.1 1455.1 1460.1 1465.1 1470.1 1475.1 1480.1 1485.1 1490.1 1495.1 1500.1 1505.1 1510.1 1515.1 1520.1 1525.1 1530.1 1535.1 1540.1 1545.1 1550.1 1555.1 1560.1 1565.1 1570.1 1575.1 1580.1 1585.1 1590.1 1595.1 1600.1 1605.1 1610.1 1615.1 1620.1 1625.1 1630.1 1635.1 1640.1 1645.1 1650.1 1655.1 1660.1 1665.1 1670.1 1675.1 1680.1 1685.1 1690.1 1695.1 1700.1 1705.1 1710.1 1715.1 1720.1 1725.1 1730.1 1735.1 1740.1 1745.1 1750.1 1755.1 1760.1 1765.1 1770.1 1775.1 1780.1 1785.1 1790.1 1795.1 1800.1 1805.1 1810.1 1815.1 1820.1 1825.1 1830.1 1835.1 1840.1 1845.1 1850.1 1855.1 1860.1 1865.1 1870.1 1875.1 1880.1 1885.1 1890.1 1895.1 1900.1 1905.1 1910.1 1915.1 1920.1 1925.1 1930.1 1935.1 1940.1 1945.1 1950.1 1955.1 1960.1 1965.1 1970.1 1975.1 1980.1 1985.1 1990.1 1995.1 2000.1
#annotation axis_x.title 
#bin_number 403
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
6525385,6.52538e+06,6.52538e+06,0,0
7410007,7.41001e+06,7.41001e+06,2.0269e+07,7.04707e+07
5005249,5.00525e+06,5.00525e+06,3.95577e+07,3.22644e+08
4045808,4.04581e+06,4.04581e+06,5.22855e+07,6.8379e+08
3385786,3.38579e+06,3.38579e+06,6.07165e+07,1.09557e+09
2880237,2.88024e+06,2.88024e+06,6.60632e+07,1.52102e+09
2473799,2.4738e+06,2.4738e+06,6.91213e+07,1.93629e+09
2140539,2.14054e+06,2.14054e+06,7.05155e+07,2.32726e+09
1864269,1.86427e+06,1.86427e+06,7.07361e+07,2.68767e+09
1625373,1.62537e+06,1.62537e+06,6.97996e+07,3.0007e+09
1423501,1.4235e+06,1.4235e+06,6.82528e+07,3.27537e+09
1249308,1.24931e+06,1.24931e+06,6.61476e+07,3.50484e+09
1098761,1.09876e+06,1.09876e+06,6.36702e+07,3.69171e+09
966518,966518,966518,6.08406e+07,3.83174e+09
850947,850947,850947,5.78201e+07,3.93046e+09
752342,752342,752342,5.48827e+07,4.00515e+09
665249,665249,665249,5.18572e+07,4.04368e+09
589992,589992,589992,4.89415e+07,4.06102e+09
521505,521505,521505,4.58679e+07,4.03526e+09
463252,463252,463252,4.30587e+07,4.00318e+09
411141,411141,411141,4.02742e+07,3.94596e+09
365542,365542,365542,3.76335e+07,3.87519e+09
326909,326909,326909,3.52907e+07,3.81038e+09
290936,290936,290936,3.2862e+07,3.71244e+09
258200,258200,258200,3.04559e+07,3.59294e+09
232152,232152,232152,2.85445e+07,3.51019e+09
208158,208158,208158,2.66346e+07,3.40842e+09
185564,185564,185564,2.46703e+07,3.28024e+09
167330,167330,167330,2.30845e+07,3.18502e+09
149667,149667,149667,2.13961e+07,3.05903e+09
134727,134727,134727,1.99331e+07,2.9494e+09
121225,121225,121225,1.85427e+07,2.83655e+09
108956,108956,108956,1.7211e+07,2.71891e+09
97699,97699,97699,1.59206e+07,2.59454e+09
88480,88480,88480,1.48618e+07,2.49648e+09
79703,79703,79703,1.37852e+07,2.3844e+09
73078,73078,73078,1.30037e+07,2.31407e+09
65909,65909,65909,1.20592e+07,2.20657e+09
59640,59640,59640,1.12099e+07,2.10714e+09
54276,54276,54276,1.04732e+07,2.02102e+09
49165,49165,49165,9.73256e+06,1.92673e+09
44725,44725,44725,9.07762e+06,1.84253e+09
40557,40557,40557,8.43421e+06,1.75405e+09
37233,37233,37233,7.92938e+06,1.68877e+09
33905,33905,33905,7.3899e+06,1.61076e+09
30695,30695,30695,6.84425e+06,1.52617e+09
28358,28358,28358,6.46443e+06,1.47368e+09
25912,25912,25912,6.0368e+06,1.40646e+09
23702,23702,23702,5.64014e+06,1.34218e+09
21615,21615,21615,5.2516e+06,1.27597e+09
19687,19687,19687,4.88154e+06,1.21046e+09
18393,18393,18393,4.65273e+06,1.177e+09
16306,16306,16306,4.20606e+06,1.08497e+09
15426,15426,15426,4.05624e+06,1.06661e+09
13929,13929,13929,3.73248e+06,1.0002e+09
12916,12916,12916,3.52543e+06,9.62294e+08
12155,12155,12155,3.37867e+06,9.39177e+08
10743,10743,10743,3.03983e+06,8.6017e+08
10027,10027,10027,2.8873e+06,8.31428e+08
9113,9113,9113,2.66962e+06,7.82073e+08
8348,8348,8348,2.48755e+06,7.41263e+08
7761,7761,7761,2.35144e+06,7.12457e+08
7144,7144,7144,2.20012e+06,6.77581e+08
6526,6526,6526,2.04248e+06,6.3926e+08
6094,6094,6094,1.93781e+06,6.16207e+08
5526,5526,5526,1.78478e+06,5.76456e+08
5145,5145,5145,1.68746e+06,5.53461e+08
4739,4739,4739,1.57796e+06,5.2543e+08
4354,4354,4354,1.47157e+06,4.97373e+08
4209,4209,4209,1.44354e+06,4.95095e+08
3841,3841,3841,1.3365e+06,4.65053e+08
3369,3369,3369,1.1891e+06,4.19705e+08
3254,3254,3254,1.16488e+06,4.17013e+08
2934,2934,2934,1.06492e+06,3.8653e+08
2693,2693,2693,990849,3.64574e+08
2501,2501,2501,932608,3.47769e+08
2431,2431,2431,918860,3.47312e+08
2182,2182,2182,835595,3.19995e+08
2050,2050,2050,795394,3.08615e+08
1932,1932,1932,759210,2.98348e+08
1775,1775,1775,706371,2.81108e+08
1516,1516,1516,610889,2.46168e+08
1457,1457,1457,594516,2.4259e+08
1372,1372,1372,566548,2.33951e+08
1253,1253,1253,523729,2.18911e+08
1118,1118,1118,472890,2.00025e+08
1040,1040,1040,445071,1.90472e+08
950,950,950,411340,1.78108e+08
911,911,911,399062,1.7481e+08
796,796,796,352538,1.56136e+08
713,713,713,319391,1.43074e+08
687,687,687,311188,1.40959e+08
631,631,631,289042,1.32403e+08
581,581,581,268995,1.24542e+08
513,513,513,240051,1.12329e+08
481,481,481,227551,1.07651e+08
487,487,487,232723,1.11212e+08
395,395,395,190815,9.21789e+07
371,371,371,181096,8.8399e+07
322,322,322,158701,7.82181e+07
315,315,315,156842,7.8094e+07
295,295,295,148383,7.46363e+07
256,256,256,130022,6.60385e+07
235,235,235,120555,6.18452e+07
217,217,217,112405,5.82257e+07
183,183,183,95701,5.00478e+07
200,200,200,105614,5.5772e+07
183,183,183,97551,5.20015e+07
147,147,147,79087,4.25496e+07
155,155,155,84184,4.57226e+07
124,124,124,67931,3.72149e+07
123,123,123,68030,3.76269e+07
116,116,116,64718,3.61073e+07
92,92,92,51799,2.91647e+07
91,91,91,51681,2.9351e+07
84,84,84,48115,2.75603e+07
88,88,88,50865,2.94007e+07
66,66,66,38466,2.24188e+07
71,71,71,41736,2.45339e+07
60,60,60,35578,2.10967e+07
64,64,64,38269,2.28832e+07
60,60,60,36190,2.18287e+07
45,45,45,27347,1.66192e+07
43,43,43,26336,1.613e+07
33,33,33,20394,1.26036e+07
36,36,36,22421,1.3964e+07
33,33,33,20728,1.30197e+07
37,37,37,23421,1.48256e+07
26,26,26,16592,1.05883e+07
14,14,14,9002,5.78831e+06
26,26,26,16847,1.09163e+07
26,26,26,16975,1.10828e+07
24,24,24,15790,1.03886e+07
15,15,15,9951,6.60152e+06
18,18,18,12014,8.01871e+06
17,17,17,11440,7.69847e+06
18,18,18,12207,8.27841e+06
23,23,23,15706,1.07252e+07
12,12,12,8255,5.67879e+06
12,12,12,8313,5.75885e+06
12,12,12,8380,5.85205e+06
11,11,11,7729,5.4307e+06
11,11,11,7794,5.52242e+06
7,7,7,4988,3.55432e+06
10,10,10,7183,5.15957e+06
12,12,12,8678,6.27566e+06
4,4,4,2909,2.11558e+06
7,7,7,5134,3.76543e+06
8,8,8,5908,4.36307e+06
8,8,8,5945,4.4179e+06
11,11,11,8223,6.14709e+06
5,5,5,3764,2.83355e+06
4,4,4,3032,2.29826e+06
7,7,7,5343,4.07825e+06
3,3,3,2303,1.76794e+06
5,5,5,3862,2.98302e+06
6,6,6,4672,3.63794e+06
3,3,3,2352,1.84397e+06
4,4,4,3152,2.48378e+06
2,2,2,1586,1.25771e+06
3,3,3,2398,1.9168e+06
4,4,4,3216,2.58567e+06
2,2,2,1619,1.31058e+06
4,4,4,3250,2.64064e+06
2,2,2,1634,1.33498e+06
3,3,3,2471,2.03528e+06
3,3,3,2481,2.05179e+06
2,2,2,1668,1.39111e+06
6,6,6,5027,4.2118e+06
3,3,3,2530,2.13364e+06
2,2,2,1692,1.43143e+06
1,1,1,853,727609
4,4,4,3431,2.94295e+06
3,3,3,2588,2.23259e+06
1,1,1,870,756900
4,4,4,3494,3.05202e+06
0,0,0,0,0
3,3,3,2647,2.33554e+06
0,0,0,0,0
3,3,3,2682,2.39771e+06
2,2,2,1799,1.6182e+06
1,1,1,904,817216
0,0,0,0,0
1,1,1,915,837225
3,3,3,2754,2.52818e+06
0,0,0,0,0
1,1,1,930,864900
1,1,1,933,870489
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,1910,1.82405e+06
0,0,0,0,0
1,1,1,962,925444
1,1,1,969,938961
1,1,1,972,944784
1,1,1,979,958441
0,0,0,0,0
2,2,2,1975,1.95031e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1010,1.0201e+06
3,3,3,3039,3.07851e+06
0,0,0,0,0
0,0,0,0,0
1,1,1,1030,1.0609e+06
2,2,2,2065,2.13212e+06
1,1,1,1038,1.07744e+06
1,1,1,1043,1.08785e+06
1,1,1,1048,1.0983e+06
0,0,0,0,0
1,1,1,1057,1.11725e+06
0,0,0,0,0
1,1,1,1070,1.1449e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1095,1.19902e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1147,1.31561e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1179,1.39004e+06
0,0,0,0,0
0,0,0,0,0
1,1,1,1192,1.42086e+06
0,0,0,0,0
0,0,0,0,0
1,1,1,1206,1.45444e+06
0,0,0,0,0
1,1,1,1220,1.4884e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1274,1.62308e+06
1,1,1,1278,1.63328e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1301,1.6926e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1341,1.79828e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1463,2.14037e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1768,3.12582e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
