#class tools::histo::h1d
#title Total number of detected op
#dimension 1
#axis edges 0 0.9 5.1 10.1 15.1 20.1 25.1 30.1 35.1 40.1 45.1 50.1 55.1 60.1 65.1 70.1 75.1 80.1 85.1 90.1 95.1 100.1 105.1 110.1 115.1 120.1 125.1 130.1 135.1 140.1 145.1 150.1 155.1 160.1 165.1 170.1 175.1 180.1 185.1 190.1 195.1 200.1 205.1 210.1 215.1 220.1 225.1 230.1 235.1 240.1 245.1 250.1 255.1 260.1 265.1 270.1 275.1 280.1 285.1 290.1 295.1 300.1 305.1 310.1 315.1 320.1 325.1 330.1 335.1 340.1 345.1 350.1 355.1 360.1 365.1 370.1 375.1 380.1 385.1 390.1 395.1 400.1 405.1 410.1 415.1 420.1 425.1 430.1 435.1 440.1 445.1 450.1 455.1 460.1 465.1 470.1 475.1 480.1 485.1 490.1 495.1 500.1 505.1 510.1 515.1 520.1 525.1 530.1 535.1 540.1 545.1 550.1 555.1 560.1 565.1 570.1 575.1 580.1 585.1 590.1 595.1 600.1 605.1 610.1 615.1 620.1 625.1 630.1 635.1 640.1 645.1 650.1 655.1 660.1 665.1 670.1 675.1 680.1 685.1 690.1 695.1 700.1 705.1 710.1 715.1 720.1 725.1 730.1 735.1 740.1 745.1 750.1 755.1 760.1 765.1 770.1 775.1 780.1 785.1 790.1 795.1 800.1 805.1 810.1 815.1 820.1 825.1 830.1 835.1 840.1 845.1 850.1 855.1 860.1 865.1 870.1 875.1 880.1 885.1 890.1 895.1 900.1 905.1 910.1 915.1 920.1 925.1 930.1 935.1 940.1 945.1 950.1 955.1 960.1 965.1 970.1 975.1 980.1 985.1 990.1 995.1 1000.1 1005.1 1010.1 1015.1 1020.1 1025.1 1030.1 1035.1 1040.1 1045.1 1050.1 1055.1 1060.1 1065.1 1070.1 1075.1 1080.1 1085.1 1090.1 1095.1 1100.1 1105.1 1110.1 1115.1 1120.1 1125.1 1130.1 1135.1 1140.1 1145.1 1150.1 1155.1 1160.1 1165.1 1170.1 1175.1 1180.1 1185.1 1190.1 1195.1 1200.1 1205.1 1210.1 1215.1 1220.1 1225.1 1230.1 1235.1 1240.1 1245.1 1250.1 1255.1 1260.1 1265.1 1270.1 1275.1 1280.1 1285.1 1290.1 1295.1 1300.1 1305.1 1310.1 1315.1 1320.1 1325.1 1330.1 1335.1 1340.1 1345.1 1350.1 1355.1 1360.1 1365.1 1370.1 1375.1 1380.1 1385.1 1390.1 1395.1 1400.1 1405.1 1410.1 1415.1 1420.1 1425.1 1430.1 1435.1 1440.1 1445.1 1450.1 1455.1 1460.1 1465.1 1470.1 1475.1 1480.1 1485.1 1490.1 1495.1 1500.1 1505.1 1510.1 1515.1 1520.1 1525.1 1530.1 1535.1 1540.1 1545.1 1550.1 1555.1 1560.1 1565.1 1570.1 1575.1 1580.1 1585.1 1590.1 1595.1 1600.1 1605.1 1610.1 1615.1 1620.1 1625.1 1630.1 1635.1 1640.1 1645.1 1650.1 1655.1 1660.1 1665.1 1670.1 1675.1 1680.1 1685.1 1690.1 1695.1 1700.1 1705.1 1710.1 1715.1 1720.1 1725.1 1730.1 1735.1 1740.1 1745.1 1750.1 1755.1 1760.1 1765.1 1770.1 1775.1 1780.1 1785.1 1790.1 1795.1 1800.1 1805.1 1810.1 1815.1 1820.1 1825.1 1830.1 1835.1 1840.1 1845.1 1850.1 1855.1 1860.1 1865.1 1870.1 1875.1 1880.1 1885.1 1890.1 1895.1 1900.1 1905.1 1910.1 1915.1 1920.1 1925.1 1930.1 1935.1 1940.1 1945.1 1950.1 1955.1 1960.1 1965.1 1970.1 1975.1 1980.1 1985.1 1990.1 1995.1 2000.1
#annotation axis_x.title 
#bin_number 403
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9904909,9.90491e+06,9.90491e+06,0,0
16084,16084,16084,42599,144287
7999,7999,7999,61990,496202
5089,5089,5089,65369,849973
3499,3499,3499,62520,1.12406e+06
2659,2659,2659,60879,1.39916e+06
2063,2063,2063,57583,1.61138e+06
1766,1766,1766,58188,1.92084e+06
1520,1520,1520,57585,2.18458e+06
1260,1260,1260,54091,2.32461e+06
1139,1139,1139,54690,2.6283e+06
1054,1054,1054,55897,2.96652e+06
973,973,973,56442,3.276e+06
843,843,843,53127,3.34986e+06
794,794,794,53989,3.67258e+06
748,748,748,54559,3.98097e+06
757,757,757,59015,4.60226e+06
723,723,723,59972,4.97599e+06
674,674,674,59278,5.21478e+06
697,697,697,64734,6.01354e+06
655,655,655,64199,6.29369e+06
617,617,617,63592,6.55539e+06
631,631,631,68140,7.35955e+06
642,642,642,72540,8.19764e+06
615,615,615,72567,8.56378e+06
562,562,562,69124,8.50304e+06
594,594,594,76030,9.73268e+06
632,632,632,84114,1.11961e+07
568,568,568,78384,1.08181e+07
603,603,603,86285,1.2348e+07
541,541,541,80019,1.18367e+07
529,529,529,80914,1.23774e+07
547,547,547,86460,1.36672e+07
512,512,512,83423,1.35937e+07
541,541,541,90902,1.52749e+07
567,567,567,98067,1.69626e+07
502,502,502,89335,1.58989e+07
510,510,510,93299,1.70691e+07
498,498,498,93590,1.75895e+07
486,486,486,93784,1.80986e+07
504,504,504,99778,1.97543e+07
466,466,466,94575,1.9195e+07
472,472,472,98184,2.04248e+07
470,470,470,100093,2.13172e+07
451,451,451,98284,2.14194e+07
432,432,432,96333,2.14824e+07
459,459,459,104599,2.38374e+07
454,454,454,105766,2.46406e+07
425,425,425,101113,2.40569e+07
433,433,433,105193,2.55564e+07
432,432,432,107133,2.65691e+07
408,408,408,103234,2.61216e+07
419,419,419,108078,2.78787e+07
395,395,395,103865,2.7312e+07
395,395,395,105872,2.83777e+07
437,437,437,119303,3.25712e+07
399,399,399,110914,3.08328e+07
416,416,416,117772,3.33427e+07
366,366,366,105385,3.03451e+07
352,352,352,103135,3.0219e+07
348,348,348,103710,3.09081e+07
379,379,379,114887,3.48267e+07
345,345,345,106245,3.27195e+07
352,352,352,110208,3.45058e+07
366,366,366,116437,3.70432e+07
293,293,293,94660,3.05826e+07
350,350,350,114797,3.76531e+07
346,346,346,115223,3.83716e+07
313,313,313,105788,3.57549e+07
340,340,340,116589,3.99801e+07
342,342,342,119001,4.14078e+07
367,367,367,129511,4.5704e+07
319,319,319,114238,4.09107e+07
290,290,290,105275,3.82172e+07
295,295,295,108552,3.99448e+07
327,327,327,121957,4.54854e+07
267,267,267,100936,3.81581e+07
305,305,305,116838,4.47583e+07
308,308,308,119464,4.63371e+07
302,302,302,118681,4.66403e+07
271,271,271,107832,4.29074e+07
261,261,261,105205,4.2407e+07
251,251,251,102414,4.17878e+07
249,249,249,102813,4.24524e+07
273,273,273,114118,4.77036e+07
226,226,226,95600,4.04401e+07
285,285,285,121985,5.22123e+07
253,253,253,109555,4.74404e+07
240,240,240,105084,4.60115e+07
235,235,235,104095,4.61101e+07
242,242,242,108437,4.85897e+07
215,215,215,97357,4.4086e+07
230,230,230,105346,4.82517e+07
221,221,221,102313,4.73668e+07
202,202,202,94516,4.42245e+07
214,214,214,101183,4.78416e+07
223,223,223,106591,5.09495e+07
220,220,220,106250,5.13144e+07
216,216,216,105425,5.14561e+07
222,222,222,109458,5.39692e+07
206,206,206,102563,5.10644e+07
190,190,190,95563,4.8065e+07
179,179,179,90930,4.61918e+07
191,191,191,97988,5.02708e+07
192,192,192,99440,5.1502e+07
223,223,223,116607,6.09744e+07
211,211,211,111424,5.88408e+07
197,197,197,105030,5.59969e+07
180,180,180,96824,5.2083e+07
