#class tools::histo::h1d
#title Total number of detected op
#dimension 1
#axis edges 0 0.9 5.1 10.1 15.1 20.1 25.1 30.1 35.1 40.1 45.1 50.1 55.1 60.1 65.1 70.1 75.1 80.1 85.1 90.1 95.1 100.1 105.1 110.1 115.1 120.1 125.1 130.1 135.1 140.1 145.1 150.1 155.1 160.1 165.1 170.1 175.1 180.1 185.1 190.1 195.1 200.1 205.1 210.1 215.1 220.1 225.1 230.1 235.1 240.1 245.1 250.1 255.1 260.1 265.1 270.1 275.1 280.1 285.1 290.1 295.1 300.1 305.1 310.1 315.1 320.1 325.1 330.1 335.1 340.1 345.1 350.1 355.1 360.1 365.1 370.1 375.1 380.1 385.1 390.1 395.1 400.1 405.1 410.1 415.1 420.1 425.1 430.1 435.1 440.1 445.1 450.1 455.1 460.1 465.1 470.1 475.1 480.1 485.1 490.1 495.1 500.1 505.1 510.1 515.1 520.1 525.1 530.1 535.1 540.1 545.1 550.1 555.1 560.1 565.1 570.1 575.1 580.1 585.1 590.1 595.1 600.1 605.1 610.1 615.1 620.1 625.1 630.1 635.1 640.1 645.1 650.1 655.1 660.1 665.1 670.1 675.1 680.1 685.1 690.1 695.1 700.1 705.1 710.1 715.1 720.1 725.1 730.1 735.1 740.1 745.1 750.1 755.1 760.1 765.1 770.1 775.1 780.1 785.1 790.1 795.1 800.1 805.1 810.1 815.1 820.1 825.1 830.1 835.1 840.1 845.1 850.1 855.1 860.1 865.1 870.1 875.1 880.1 885.1 890.1 895.1 900.1 905.1 910.1 915.1 920.1 925.1 930.1 935.1 940.1 945.1 950.1 955.1 960.1 965.1 970.1 975.1 980.1 985.1 990.1 995.1 1000.1 1005.1 1010.1 1015.1 1020.1 1025.1 1030.1 1035.1 1040.1 1045.1 1050.1 1055.1 1060.1 1065.1 1070.1 1075.1 1080.1 1085.1 1090.1 1095.1 1100.1 1105.1 1110.1 1115.1 1120.1 1125.1 1130.1 1135.1 1140.1 1145.1 1150.1 1155.1 1160.1 1165.1 1170.1 1175.1 1180.1 1185.1 1190.1 1195.1 1200.1 1205.1 1210.1 1215.1 1220.1 1225.1 1230.1 1235.1 1240.1 1245.1 1250.1 1255.1 1260.1 1265.1 1270.1 1275.1 1280.1 1285.1 1290.1 1295.1 1300.1 1305.1 1310.1 1315.1 1320.1 1325.1 1330.1 1335.1 1340.1 1345.1 1350.1 1355.1 1360.1 1365.1 1370.1 1375.1 1380.1 1385.1 1390.1 1395.1 1400.1 1405.1 1410.1 1415.1 1420.1 1425.1 1430.1 1435.1 1440.1 1445.1 1450.1 1455.1 1460.1 1465.1 1470.1 1475.1 1480.1 1485.1 1490.1 1495.1 1500.1 1505.1 1510.1 1515.1 1520.1 1525.1 1530.1 1535.1 1540.1 1545.1 1550.1 1555.1 1560.1 1565.1 1570.1 1575.1 1580.1 1585.1 1590.1 1595.1 1600.1 1605.1 1610.1 1615.1 1620.1 1625.1 1630.1 1635.1 1640.1 1645.1 1650.1 1655.1 1660.1 1665.1 1670.1 1675.1 1680.1 1685.1 1690.1 1695.1 1700.1 1705.1 1710.1 1715.1 1720.1 1725.1 1730.1 1735.1 1740.1 1745.1 1750.1 1755.1 1760.1 1765.1 1770.1 1775.1 1780.1 1785.1 1790.1 1795.1 1800.1 1805.1 1810.1 1815.1 1820.1 1825.1 1830.1 1835.1 1840.1 1845.1 1850.1 1855.1 1860.1 1865.1 1870.1 1875.1 1880.1 1885.1 1890.1 1895.1 1900.1 1905.1 1910.1 1915.1 1920.1 1925.1 1930.1 1935.1 1940.1 1945.1 1950.1 1955.1 1960.1 1965.1 1970.1 1975.1 1980.1 1985.1 1990.1 1995.1 2000.1
#annotation axis_x.title 
#bin_number 403
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
998832914,9.98833e+08,9.98833e+08,0,0
206457,206457,206457,628642,2.32072e+06
187188,187188,187188,1.47917e+06,1.20613e+07
145188,145188,145188,1.87283e+06,2.4447e+07
111789,111789,111789,2.00056e+06,3.60242e+07
86658,86658,86658,1.9847e+06,4.5628e+07
67393,67393,67393,1.88033e+06,5.25982e+07
51669,51669,51669,1.69979e+06,5.60224e+07
40336,40336,40336,1.52847e+06,5.79994e+07
31881,31881,31881,1.36737e+06,5.87102e+07
25079,25079,25079,1.20149e+06,5.76113e+07
19860,19860,19860,1.05089e+06,5.56474e+07
16037,16037,16037,928795,5.38239e+07
12702,12702,12702,799188,5.03088e+07
10611,10611,10611,720866,4.89937e+07
8672,8672,8672,632317,4.61225e+07
7383,7383,7383,575560,4.48839e+07
6277,6277,6277,520711,4.32084e+07
5361,5361,5361,471459,4.14722e+07
4886,4886,4886,454278,4.22464e+07
4321,4321,4321,423359,4.14882e+07
3857,3857,3857,397091,4.08897e+07
3560,3560,3560,384279,4.14875e+07
3348,3348,3348,378334,4.27596e+07
3254,3254,3254,383779,4.52697e+07
2984,2984,2984,367029,4.51501e+07
2779,2779,2779,355691,4.55312e+07
2860,2860,2860,380338,5.0585e+07
2747,2747,2747,379262,5.23679e+07
2718,2718,2718,388670,5.55847e+07
2557,2557,2557,378388,5.59993e+07
2577,2577,2577,394370,6.03575e+07
2510,2510,2510,396577,6.26637e+07
2503,2503,2503,408045,6.65257e+07
2429,2429,2429,408062,6.85575e+07
2423,2423,2423,419040,7.24747e+07
2312,2312,2312,411544,7.32609e+07
2384,2384,2384,436275,7.98437e+07
2283,2283,2283,429201,8.06936e+07
2194,2194,2194,423428,8.17232e+07
2158,2158,2158,427302,8.46135e+07
2168,2168,2168,440130,8.9356e+07
2050,2050,2050,426394,8.86928e+07
1996,1996,1996,425111,9.05448e+07
1898,1898,1898,413633,9.01472e+07
1896,1896,1896,422812,9.42919e+07
1847,1847,1847,421084,9.60037e+07
1767,1767,1767,411688,9.59215e+07
1701,1701,1701,404777,9.63257e+07
1661,1661,1661,403562,9.80541e+07
1581,1581,1581,392101,9.72474e+07
1602,1602,1602,405208,1.02496e+08
1523,1523,1523,393022,1.01425e+08
1437,1437,1437,377843,9.93524e+07
1382,1382,1382,370377,9.92641e+07
1358,1358,1358,370728,1.0121e+08
1316,1316,1316,365877,1.01724e+08
1246,1246,1246,352608,9.97877e+07
1230,1230,1230,354202,1.02002e+08
1129,1129,1129,330754,9.69005e+07
1126,1126,1126,335454,9.99396e+07
1056,1056,1056,319917,9.69215e+07
1068,1068,1068,328985,1.01342e+08
1000,1000,1000,312938,9.79322e+07
912,912,912,290036,9.22396e+07
923,923,923,298150,9.63111e+07
908,908,908,297894,9.7734e+07
889,889,889,296019,9.85701e+07
811,811,811,274106,9.26454e+07
792,792,792,271610,9.3148e+07
778,778,778,270646,9.41523e+07
749,749,749,264421,9.33506e+07
752,752,752,269245,9.64015e+07
721,721,721,261673,9.49706e+07
687,687,687,252812,9.30347e+07
653,653,653,243568,9.08518e+07
618,618,618,233626,8.83202e+07
588,588,588,225221,8.62673e+07
583,583,583,226163,8.77364e+07
564,564,564,221628,8.70915e+07
541,541,541,215327,8.57049e+07
522,522,522,210316,8.47382e+07
479,479,479,195385,7.96989e+07
489,489,489,201933,8.33894e+07
436,436,436,182306,7.6229e+07
468,468,468,197958,8.37346e+07
418,418,418,178906,7.65735e+07
400,400,400,173166,7.49669e+07
443,443,443,194078,8.50263e+07
407,407,407,180304,7.98768e+07
372,372,372,166657,7.46635e+07
361,361,361,163505,7.40558e+07
402,402,402,184147,8.43544e+07
333,333,333,154164,7.13717e+07
362,362,362,169401,7.92734e+07
330,330,330,156083,7.38246e+07
295,295,295,141011,6.74044e+07
301,301,301,145360,7.01984e+07
277,277,277,135165,6.59557e+07
258,258,258,127219,6.27318e+07
242,242,242,120535,6.00364e+07
255,255,255,128280,6.45329e+07
235,235,235,119368,6.06333e+07
228,228,228,116944,5.99824e+07
230,230,230,119178,6.17543e+07
211,211,211,110367,5.77297e+07
209,209,209,110345,5.82589e+07
208,208,208,110869,5.90963e+07
218,218,218,117310,6.31272e+07
198,198,198,107517,5.83838e+07
