#class tools::histo::h1d
#title total number of detected op
#dimension 1
#axis edges 0 0.9 5.1 10.1 15.1 20.1 25.1 30.1 35.1 40.1 45.1 50.1 55.1 60.1 65.1 70.1 75.1 80.1 85.1 90.1 95.1 100.1 105.1 110.1 115.1 120.1 125.1 130.1 135.1 140.1 145.1 150.1 155.1 160.1 165.1 170.1 175.1 180.1 185.1 190.1 195.1 200.1 205.1 210.1 215.1 220.1 225.1 230.1 235.1 240.1 245.1 250.1 255.1 260.1 265.1 270.1 275.1 280.1 285.1 290.1 295.1 300.1 305.1 310.1 315.1 320.1 325.1 330.1 335.1 340.1 345.1 350.1 355.1 360.1 365.1 370.1 375.1 380.1 385.1 390.1 395.1 400.1 405.1 410.1 415.1 420.1 425.1 430.1 435.1 440.1 445.1 450.1 455.1 460.1 465.1 470.1 475.1 480.1 485.1 490.1 495.1 500.1 505.1 510.1 515.1 520.1 525.1 530.1 535.1 540.1 545.1 550.1 555.1 560.1 565.1 570.1 575.1 580.1 585.1 590.1 595.1 600.1 605.1 610.1 615.1 620.1 625.1 630.1 635.1 640.1 645.1 650.1 655.1 660.1 665.1 670.1 675.1 680.1 685.1 690.1 695.1 700.1 705.1 710.1 715.1 720.1 725.1 730.1 735.1 740.1 745.1 750.1 755.1 760.1 765.1 770.1 775.1 780.1 785.1 790.1 795.1 800.1 805.1 810.1 815.1 820.1 825.1 830.1 835.1 840.1 845.1 850.1 855.1 860.1 865.1 870.1 875.1 880.1 885.1 890.1 895.1 900.1 905.1 910.1 915.1 920.1 925.1 930.1 935.1 940.1 945.1 950.1 955.1 960.1 965.1 970.1 975.1 980.1 985.1 990.1 995.1 1000.1 1005.1 1010.1 1015.1 1020.1 1025.1 1030.1 1035.1 1040.1 1045.1 1050.1 1055.1 1060.1 1065.1 1070.1 1075.1 1080.1 1085.1 1090.1 1095.1 1100.1 1105.1 1110.1 1115.1 1120.1 1125.1 1130.1 1135.1 1140.1 1145.1 1150.1 1155.1 1160.1 1165.1 1170.1 1175.1 1180.1 1185.1 1190.1 1195.1 1200.1 1205.1 1210.1 1215.1 1220.1 1225.1 1230.1 1235.1 1240.1 1245.1 1250.1 1255.1 1260.1 1265.1 1270.1 1275.1 1280.1 1285.1 1290.1 1295.1 1300.1 1305.1 1310.1 1315.1 1320.1 1325.1 1330.1 1335.1 1340.1 1345.1 1350.1 1355.1 1360.1 1365.1 1370.1 1375.1 1380.1 1385.1 1390.1 1395.1 1400.1 1405.1 1410.1 1415.1 1420.1 1425.1 1430.1 1435.1 1440.1 1445.1 1450.1 1455.1 1460.1 1465.1 1470.1 1475.1 1480.1 1485.1 1490.1 1495.1 1500.1 1505.1 1510.1 1515.1 1520.1 1525.1 1530.1 1535.1 1540.1 1545.1 1550.1 1555.1 1560.1 1565.1 1570.1 1575.1 1580.1 1585.1 1590.1 1595.1 1600.1 1605.1 1610.1 1615.1 1620.1 1625.1 1630.1 1635.1 1640.1 1645.1 1650.1 1655.1 1660.1 1665.1 1670.1 1675.1 1680.1 1685.1 1690.1 1695.1 1700.1 1705.1 1710.1 1715.1 1720.1 1725.1 1730.1 1735.1 1740.1 1745.1 1750.1 1755.1 1760.1 1765.1 1770.1 1775.1 1780.1 1785.1 1790.1 1795.1 1800.1 1805.1 1810.1 1815.1 1820.1 1825.1 1830.1 1835.1 1840.1 1845.1 1850.1 1855.1 1860.1 1865.1 1870.1 1875.1 1880.1 1885.1 1890.1 1895.1 1900.1 1905.1 1910.1 1915.1 1920.1 1925.1 1930.1 1935.1 1940.1 1945.1 1950.1 1955.1 1960.1 1965.1 1970.1 1975.1 1980.1 1985.1 1990.1 1995.1 2000.1
#annotation axis_x.title 
#bin_number 403
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9425739,9.42574e+06,9.42574e+06,0,0
136550,136550,136550,329868,1.05222e+06
50132,50132,50132,389560,3.12674e+06
32983,32983,32983,424932,5.54059e+06
26055,26055,26055,467321,8.43393e+06
22846,22846,22846,524165,1.20717e+07
19666,19666,19666,549570,1.53972e+07
17185,17185,17185,566205,1.86896e+07
14764,14764,14764,560169,2.1283e+07
12656,12656,12656,543658,2.33792e+07
11277,11277,11277,540545,2.59329e+07
9781,9781,9781,518046,2.74576e+07
8758,8758,8758,507629,2.94406e+07
7917,7917,7917,498528,3.14077e+07
7121,7121,7121,484110,3.29255e+07
6540,6540,6540,477236,3.48378e+07
5950,5950,5950,463906,3.61813e+07
5700,5700,5700,472879,3.9242e+07
5428,5428,5428,477479,4.20128e+07
4921,4921,4921,457545,4.25513e+07
4628,4628,4628,453421,4.44324e+07
4377,4377,4377,450785,4.64348e+07
4169,4169,4169,450144,4.86121e+07
3883,3883,3883,438624,4.95547e+07
3740,3740,3740,441311,5.20809e+07
3541,3541,3541,435590,5.35904e+07
3547,3547,3547,453983,5.81127e+07
3216,3216,3216,427600,5.68602e+07
3011,3011,3011,415431,5.73234e+07
3084,3084,3084,440861,6.30276e+07
2798,2798,2798,414046,6.12758e+07
2811,2811,2811,430031,6.57925e+07
2739,2739,2739,432740,6.83749e+07
2616,2616,2616,426344,6.94888e+07
2576,2576,2576,432745,7.27025e+07
2478,2478,2478,428691,7.4168e+07
2387,2387,2387,424842,7.56188e+07
2222,2222,2222,406612,7.44118e+07
2220,2220,2220,417360,7.84682e+07
2133,2133,2133,411679,7.94603e+07
2157,2157,2157,427163,8.45981e+07
2049,2049,2049,415985,8.44568e+07
1996,1996,1996,415100,8.63305e+07
2049,2049,2049,436391,9.29457e+07
1827,1827,1827,398288,8.68309e+07
1811,1811,1811,403789,9.00343e+07
1730,1730,1730,394398,8.99166e+07
1665,1665,1665,387947,9.03954e+07
1625,1625,1625,386740,9.20449e+07
1594,1594,1594,387387,9.41492e+07
1624,1624,1624,402719,9.98693e+07
1561,1561,1561,394812,9.986e+07
1548,1548,1548,399313,1.03008e+08
1477,1477,1477,388468,1.02175e+08
1411,1411,1411,378102,1.01322e+08
1453,1453,1453,396672,1.08295e+08
1402,1402,1402,389713,1.08331e+08
1416,1416,1416,400664,1.13373e+08
1325,1325,1325,381587,1.09896e+08
1278,1278,1278,374522,1.09757e+08
1271,1271,1271,378725,1.12853e+08
1297,1297,1297,392995,1.19081e+08
1204,1204,1204,370819,1.14211e+08
1156,1156,1156,361828,1.13255e+08
1132,1132,1132,359999,1.14489e+08
1115,1115,1115,360174,1.16348e+08
1104,1104,1104,362156,1.18804e+08
1146,1146,1146,381566,1.27046e+08
1077,1077,1077,364033,1.23048e+08
992,992,992,340294,1.16736e+08
1054,1054,1054,366720,1.27596e+08
1045,1045,1045,368901,1.3023e+08
1049,1049,1049,375525,1.34434e+08
1023,1023,1023,371262,1.34739e+08
960,960,960,353326,1.30043e+08
907,907,907,338360,1.26228e+08
961,961,961,363259,1.37314e+08
854,854,854,327100,1.25288e+08
902,902,902,349999,1.3581e+08
900,900,900,353730,1.39029e+08
857,857,857,341032,1.35711e+08
865,865,865,348608,1.40496e+08
833,833,833,339848,1.38653e+08
792,792,792,327065,1.35067e+08
792,792,792,331074,1.38398e+08
750,750,750,317304,1.34244e+08
787,787,787,336845,1.44175e+08
811,811,811,351153,1.52047e+08
770,770,770,337322,1.47776e+08
737,737,737,326462,1.44611e+08
702,702,702,314440,1.40845e+08
728,728,728,329768,1.49379e+08
724,724,724,331638,1.51913e+08
668,668,668,309237,1.43156e+08
710,710,710,332285,1.55513e+08
631,631,631,298427,1.4114e+08
668,668,668,319311,1.52635e+08
606,606,606,292669,1.41346e+08
635,635,635,309854,1.51197e+08
654,654,654,322428,1.58961e+08
642,642,642,319648,1.59152e+08
558,558,558,280695,1.41201e+08
586,586,586,297699,1.51238e+08
611,611,611,313438,1.60792e+08
580,580,580,300441,1.5563e+08
545,545,545,285045,1.49085e+08
529,529,529,279303,1.47468e+08
599,599,599,319234,1.70135e+08
544,544,544,292642,1.57426e+08
520,520,520,282364,1.53327e+08
517,517,517,283363,1.5531e+08
528,528,528,292025,1.61514e+08
517,517,517,288471,1.60959e+08
483,483,483,271908,1.53073e+08
480,480,480,272632,1.54851e+08
467,467,467,267596,1.53336e+08
448,448,448,259026,1.49765e+08
448,448,448,261178,1.52264e+08
479,479,479,281665,1.65628e+08
428,428,428,253773,1.5047e+08
445,445,445,266097,1.59119e+08
407,407,407,245439,1.48011e+08
419,419,419,254752,1.5489e+08
414,414,414,253809,1.55602e+08
419,419,419,258979,1.60073e+08
406,406,406,252963,1.57612e+08
387,387,387,243047,1.52641e+08
376,376,376,237966,1.50607e+08
358,358,358,228363,1.4567e+08
357,357,357,229574,1.47632e+08
364,364,364,235873,1.52847e+08
342,342,342,223320,1.45825e+08
373,373,373,245426,1.61486e+08
340,340,340,225417,1.4945e+08
363,363,363,242438,1.61919e+08
363,363,363,244337,1.64465e+08
339,339,339,229840,1.55831e+08
345,345,345,235624,1.60924e+08
356,356,356,244899,1.68471e+08
316,316,316,218997,1.51772e+08
315,315,315,219857,1.53452e+08
297,297,297,208757,1.46733e+08
282,282,282,199639,1.41333e+08
335,335,335,238825,1.70261e+08
296,296,296,212536,1.52607e+08
289,289,289,208945,1.51066e+08
286,286,286,208167,1.51516e+08
273,273,273,200082,1.46641e+08
296,296,296,218429,1.61187e+08
248,248,248,184268,1.36915e+08
259,259,259,193746,1.44933e+08
291,291,291,219167,1.65066e+08
253,253,253,191770,1.45359e+08
241,241,241,183891,1.40315e+08
231,231,231,177409,1.36251e+08
239,239,239,184762,1.42833e+08
271,271,271,210835,1.64028e+08
251,251,251,196522,1.53869e+08
231,231,231,182048,1.4347e+08
235,235,235,186365,1.47796e+08
220,220,220,175542,1.40069e+08
215,215,215,172650,1.38642e+08
200,200,200,161580,1.30541e+08
249,249,249,202449,1.64601e+08
176,176,176,143959,1.17751e+08
190,190,190,156357,1.28671e+08
185,185,185,153194,1.26857e+08
222,222,222,184936,1.5406e+08
193,193,193,161736,1.35537e+08
194,194,194,163534,1.37853e+08
204,204,204,172942,1.46613e+08
197,197,197,168025,1.43312e+08
178,178,178,152744,1.31072e+08
175,175,175,151049,1.30376e+08
181,181,181,157101,1.36358e+08
175,175,175,152761,1.33348e+08
168,168,168,147527,1.29549e+08
168,168,168,148336,1.30974e+08
167,167,167,148276,1.31652e+08
149,149,149,133042,1.18793e+08
153,153,153,137403,1.23396e+08
165,165,165,148978,1.34512e+08
143,143,143,129865,1.17937e+08
144,144,144,131504,1.20093e+08
148,148,148,135858,1.24712e+08
142,142,142,131069,1.2098e+08
127,127,127,117860,1.09378e+08
139,139,139,129698,1.21019e+08
140,140,140,131333,1.23203e+08
144,144,144,135782,1.28033e+08
131,131,131,124177,1.1771e+08
121,121,121,115281,1.09832e+08
103,103,103,98657,9.44973e+07
157,157,157,151210,1.45634e+08
128,128,128,123899,1.1993e+08
126,126,126,122612,1.19315e+08
131,131,131,128125,1.25313e+08
129,129,129,126791,1.2462e+08
125,125,125,123493,1.22004e+08
123,123,123,122137,1.2128e+08
132,132,132,131753,1.31507e+08
113,113,113,113339,1.13679e+08
111,111,111,111901,1.1281e+08
121,121,121,122574,1.24169e+08
93,93,93,94658,9.63457e+07
103,103,103,105360,1.07774e+08
126,126,126,129535,1.33169e+08
93,93,93,96038,9.91754e+07
113,113,113,117272,1.21706e+08
109,109,109,113660,1.18519e+08
116,116,116,121561,1.27389e+08
104,104,104,109520,1.15333e+08
94,94,94,99465,1.05248e+08
99,99,99,105198,1.11784e+08
92,92,92,98252,1.04929e+08
79,79,79,84774,9.09702e+07
70,70,70,75457,8.13396e+07
82,82,82,88792,9.61467e+07
84,84,84,91390,9.94303e+07
84,84,84,91829,1.00388e+08
90,90,90,98830,1.08526e+08
83,83,83,91549,1.00979e+08
77,77,77,85315,9.45281e+07
83,83,83,92378,1.02816e+08
68,68,68,76022,8.49905e+07
72,72,72,80842,9.077e+07
75,75,75,84593,9.54132e+07
77,77,77,87244,9.8851e+07
61,61,61,69425,7.90137e+07
63,63,63,72014,8.23178e+07
74,74,74,84959,9.75411e+07
73,73,73,84167,9.70424e+07
61,61,61,70636,8.17943e+07
68,68,68,79102,9.20167e+07
55,55,55,64225,7.49974e+07
72,72,72,84445,9.90412e+07
51,51,51,60079,7.07743e+07
60,60,60,70978,8.39647e+07
61,61,61,72470,8.60968e+07
50,50,50,59650,7.11625e+07
40,40,40,47922,5.7413e+07
68,68,68,81796,9.83911e+07
51,51,51,61609,7.4425e+07
53,53,53,64298,7.80045e+07
56,56,56,68207,8.3075e+07
50,50,50,61145,7.47743e+07
55,55,55,67551,8.29663e+07
49,49,49,60413,7.44844e+07
45,45,45,55704,6.89542e+07
50,50,50,62150,7.72525e+07
56,56,56,69885,8.72129e+07
44,44,44,55129,6.9073e+07
51,51,51,64170,8.07411e+07
39,39,39,49260,6.22192e+07
49,49,49,62133,7.8786e+07
50,50,50,63645,8.10138e+07
30,30,30,38340,4.89986e+07
46,46,46,59008,7.56945e+07
35,35,35,45070,5.80374e+07
25,25,25,32322,4.17885e+07
31,31,31,40244,5.22446e+07
40,40,40,52123,6.79203e+07
39,39,39,51009,6.67159e+07
40,40,40,52512,6.89378e+07
36,36,36,47448,6.25365e+07
39,39,39,51589,6.82417e+07
36,36,36,47816,6.35104e+07
42,42,42,55960,7.45601e+07
36,36,36,48162,6.44328e+07
29,29,29,38958,5.23354e+07
24,24,24,32350,4.36051e+07
28,28,28,37878,5.12409e+07
30,30,30,40743,5.53331e+07
40,40,40,54523,7.4319e+07
37,37,37,50616,6.92428e+07
32,32,32,43932,6.03132e+07
37,37,37,50986,7.02588e+07
25,25,25,34569,4.78007e+07
31,31,31,43034,5.97396e+07
21,21,21,29249,4.07383e+07
35,35,35,48932,6.84098e+07
25,25,25,35070,4.91962e+07
27,27,27,38017,5.35294e+07
30,30,30,42390,5.98971e+07
17,17,17,24107,3.41852e+07
25,25,25,35590,5.0666e+07
28,28,28,39993,5.71229e+07
28,28,28,40124,5.74978e+07
23,23,23,33075,4.75633e+07
21,21,21,30302,4.37244e+07
19,19,19,27512,3.98374e+07
20,20,20,29049,4.21923e+07
21,21,21,30612,4.46236e+07
32,32,32,46824,6.85153e+07
15,15,15,22017,3.23166e+07
26,26,26,38284,5.63718e+07
22,22,22,32519,4.80676e+07
15,15,15,22240,3.29745e+07
19,19,19,28275,4.20777e+07
20,20,20,29861,4.4584e+07
15,15,15,22474,3.36721e+07
23,23,23,34559,5.19272e+07
13,13,13,19609,2.95779e+07
16,16,16,24211,3.66358e+07
23,23,23,34920,5.30177e+07
20,20,20,30470,4.64211e+07
16,16,16,24445,3.73474e+07
13,13,13,19934,3.05665e+07
20,20,20,30774,4.7352e+07
22,22,22,33945,5.23756e+07
14,14,14,21666,3.35297e+07
19,19,19,29511,4.58368e+07
17,17,17,26487,4.12683e+07
20,20,20,31270,4.88907e+07
15,15,15,23521,3.68825e+07
17,17,17,26743,4.20699e+07
14,14,14,22086,3.48423e+07
17,17,17,26920,4.26286e+07
18,18,18,28585,4.53946e+07
12,12,12,19128,3.049e+07
11,11,11,17579,2.80929e+07
14,14,14,22437,3.59585e+07
12,12,12,19297,3.10312e+07
19,19,19,30646,4.94304e+07
5,5,5,8089,1.30864e+07
9,9,9,14604,2.36974e+07
9,9,9,14643,2.38242e+07
10,10,10,16327,2.66571e+07
12,12,12,19655,3.21933e+07
10,10,10,16423,2.69715e+07
13,13,13,21427,3.53167e+07
10,10,10,16534,2.73373e+07
5,5,5,8285,1.37282e+07
6,6,6,9984,1.66134e+07
11,11,11,18358,3.06378e+07
12,12,12,20069,3.35637e+07
10,10,10,16784,2.81703e+07
8,8,8,13464,2.26599e+07
12,12,12,20261,3.4209e+07
15,15,15,25392,4.29836e+07
9,9,9,15280,2.59421e+07
4,4,4,6810,1.1594e+07
16,16,16,27330,4.66831e+07
14,14,14,23975,4.10572e+07
10,10,10,17176,2.95015e+07
6,6,6,10340,1.78193e+07
16,16,16,27656,4.78034e+07
9,9,9,15601,2.70435e+07
8,8,8,13904,2.41652e+07
10,10,10,17425,3.03631e+07
8,8,8,13985,2.44475e+07
11,11,11,19286,3.38136e+07
5,5,5,8788,1.54458e+07
13,13,13,22922,4.04168e+07
7,7,7,12379,2.18914e+07
5,5,5,8862,1.5707e+07
7,7,7,12442,2.21148e+07
6,6,6,10698,1.90745e+07
8,8,8,14302,2.55684e+07
7,7,7,12554,2.25147e+07
7,7,7,12589,2.26404e+07
6,6,6,10813,1.94868e+07
9,9,9,16265,2.93945e+07
5,5,5,9060,1.64167e+07
6,6,6,10907,1.98271e+07
8,8,8,14576,2.65575e+07
6,6,6,10968,2.00495e+07
5,5,5,9169,1.68141e+07
8,8,8,14706,2.70333e+07
11,11,11,20267,3.73411e+07
4,4,4,7391,1.36567e+07
4,4,4,7414,1.37419e+07
10,10,10,18574,3.44994e+07
7,7,7,13043,2.43029e+07
8,8,8,14938,2.7893e+07
12,12,12,22472,4.20826e+07
3,3,3,5636,1.05882e+07
9,9,9,16948,3.1915e+07
2,2,2,3772,7.11399e+06
4,4,4,7573,1.43376e+07
6,6,6,11395,2.1641e+07
3,3,3,5712,1.08757e+07
12,12,12,22897,4.36894e+07
3,3,3,5738,1.09749e+07
7,7,7,13431,2.57703e+07
7,7,7,13461,2.58855e+07
7,7,7,13499,2.60319e+07
4,4,4,7732,1.4946e+07
1,1,1,1938,3.75584e+06
5,5,5,9714,1.88724e+07
8,8,8,15584,3.03576e+07
5,5,5,9767,1.90789e+07
3,3,3,5878,1.1517e+07
5,5,5,9814,1.92629e+07
3,3,3,5903,1.16151e+07
5,5,5,9862,1.94518e+07
6,6,6,11867,2.3471e+07
3,3,3,5947,1.17889e+07
2,2,2,3972,7.88839e+06
4,4,4,7976,1.59041e+07
6,6,6,11989,2.3956e+07
596,596,596,1.67682e+06,5.19246e+09
