#class tools::histo::h1d
#title total number of detected op
#dimension 1
#axis edges 0 0.9 5.1 10.1 15.1 20.1 25.1 30.1 35.1 40.1 45.1 50.1 55.1 60.1 65.1 70.1 75.1 80.1 85.1 90.1 95.1 100.1 105.1 110.1 115.1 120.1 125.1 130.1 135.1 140.1 145.1 150.1 155.1 160.1 165.1 170.1 175.1 180.1 185.1 190.1 195.1 200.1 205.1 210.1 215.1 220.1 225.1 230.1 235.1 240.1 245.1 250.1 255.1 260.1 265.1 270.1 275.1 280.1 285.1 290.1 295.1 300.1 305.1 310.1 315.1 320.1 325.1 330.1 335.1 340.1 345.1 350.1 355.1 360.1 365.1 370.1 375.1 380.1 385.1 390.1 395.1 400.1 405.1 410.1 415.1 420.1 425.1 430.1 435.1 440.1 445.1 450.1 455.1 460.1 465.1 470.1 475.1 480.1 485.1 490.1 495.1 500.1 505.1 510.1 515.1 520.1 525.1 530.1 535.1 540.1 545.1 550.1 555.1 560.1 565.1 570.1 575.1 580.1 585.1 590.1 595.1 600.1 605.1 610.1 615.1 620.1 625.1 630.1 635.1 640.1 645.1 650.1 655.1 660.1 665.1 670.1 675.1 680.1 685.1 690.1 695.1 700.1 705.1 710.1 715.1 720.1 725.1 730.1 735.1 740.1 745.1 750.1 755.1 760.1 765.1 770.1 775.1 780.1 785.1 790.1 795.1 800.1 805.1 810.1 815.1 820.1 825.1 830.1 835.1 840.1 845.1 850.1 855.1 860.1 865.1 870.1 875.1 880.1 885.1 890.1 895.1 900.1 905.1 910.1 915.1 920.1 925.1 930.1 935.1 940.1 945.1 950.1 955.1 960.1 965.1 970.1 975.1 980.1 985.1 990.1 995.1 1000.1 1005.1 1010.1 1015.1 1020.1 1025.1 1030.1 1035.1 1040.1 1045.1 1050.1 1055.1 1060.1 1065.1 1070.1 1075.1 1080.1 1085.1 1090.1 1095.1 1100.1 1105.1 1110.1 1115.1 1120.1 1125.1 1130.1 1135.1 1140.1 1145.1 1150.1 1155.1 1160.1 1165.1 1170.1 1175.1 1180.1 1185.1 1190.1 1195.1 1200.1 1205.1 1210.1 1215.1 1220.1 1225.1 1230.1 1235.1 1240.1 1245.1 1250.1 1255.1 1260.1 1265.1 1270.1 1275.1 1280.1 1285.1 1290.1 1295.1 1300.1 1305.1 1310.1 1315.1 1320.1 1325.1 1330.1 1335.1 1340.1 1345.1 1350.1 1355.1 1360.1 1365.1 1370.1 1375.1 1380.1 1385.1 1390.1 1395.1 1400.1 1405.1 1410.1 1415.1 1420.1 1425.1 1430.1 1435.1 1440.1 1445.1 1450.1 1455.1 1460.1 1465.1 1470.1 1475.1 1480.1 1485.1 1490.1 1495.1 1500.1 1505.1 1510.1 1515.1 1520.1 1525.1 1530.1 1535.1 1540.1 1545.1 1550.1 1555.1 1560.1 1565.1 1570.1 1575.1 1580.1 1585.1 1590.1 1595.1 1600.1 1605.1 1610.1 1615.1 1620.1 1625.1 1630.1 1635.1 1640.1 1645.1 1650.1 1655.1 1660.1 1665.1 1670.1 1675.1 1680.1 1685.1 1690.1 1695.1 1700.1 1705.1 1710.1 1715.1 1720.1 1725.1 1730.1 1735.1 1740.1 1745.1 1750.1 1755.1 1760.1 1765.1 1770.1 1775.1 1780.1 1785.1 1790.1 1795.1 1800.1 1805.1 1810.1 1815.1 1820.1 1825.1 1830.1 1835.1 1840.1 1845.1 1850.1 1855.1 1860.1 1865.1 1870.1 1875.1 1880.1 1885.1 1890.1 1895.1 1900.1 1905.1 1910.1 1915.1 1920.1 1925.1 1930.1 1935.1 1940.1 1945.1 1950.1 1955.1 1960.1 1965.1 1970.1 1975.1 1980.1 1985.1 1990.1 1995.1 2000.1
#annotation axis_x.title 
#bin_number 403
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
4103504,4.1035e+06,4.1035e+06,0,0
1077959,1.07796e+06,1.07796e+06,3.03547e+06,1.07652e+07
844361,844361,844361,6.69934e+06,5.48411e+07
709597,709597,709597,9.17304e+06,1.19996e+08
588235,588235,588235,1.0543e+07,1.90135e+08
481102,481102,481102,1.10274e+07,2.53719e+08
391748,391748,391748,1.09384e+07,3.06201e+08
320062,320062,320062,1.05363e+07,3.47492e+08
262479,262479,262479,9.95397e+06,3.78009e+08
213716,213716,213716,9.1728e+06,3.94126e+08
175828,175828,175828,8.42552e+06,4.04094e+08
144868,144868,144868,7.66708e+06,4.06065e+08
117872,117872,117872,6.82625e+06,3.95561e+08
96920,96920,96920,6.09822e+06,3.83894e+08
80224,80224,80224,5.44918e+06,3.70294e+08
65930,65930,65930,4.80722e+06,3.50645e+08
54682,54682,54682,4.26127e+06,3.32183e+08
45348,45348,45348,3.76044e+06,3.11922e+08
36978,36978,36978,3.25124e+06,2.85934e+08
30836,30836,30836,2.86521e+06,2.6629e+08
25203,25203,25203,2.46792e+06,2.41713e+08
21035,21035,21035,2.16476e+06,2.22823e+08
17334,17334,17334,1.87068e+06,2.01918e+08
14575,14575,14575,1.64578e+06,1.85867e+08
12071,12071,12071,1.42369e+06,1.67938e+08
10238,10238,10238,1.25834e+06,1.54681e+08
8354,8354,8354,1.06876e+06,1.36748e+08
7095,7095,7095,943160,1.25391e+08
6086,6086,6086,839503,1.15813e+08
5171,5171,5171,739016,1.05627e+08
4188,4188,4188,619582,9.16708e+07
3546,3546,3546,542128,8.28899e+07
3090,3090,3090,488085,7.71026e+07
2528,2528,2528,412011,6.71542e+07
2155,2155,2155,361975,6.08053e+07
1806,1806,1806,312305,5.40094e+07
1623,1623,1623,288919,5.14353e+07
1391,1391,1391,254495,4.65647e+07
1163,1163,1163,218470,4.1042e+07
994,994,994,191746,3.69904e+07
866,866,866,171350,3.39057e+07
761,761,761,154479,3.13599e+07
701,701,701,145810,3.03303e+07
542,542,542,115429,2.45838e+07
506,506,506,110322,2.40543e+07
474,474,474,105649,2.35489e+07
397,397,397,90532,2.06458e+07
330,330,330,76903,1.79221e+07
318,318,318,75653,1.79987e+07
265,265,265,64359,1.5631e+07
227,227,227,56274,1.3951e+07
192,192,192,48540,1.22719e+07
174,174,174,44864,1.1568e+07
171,171,171,44979,1.18314e+07
157,157,157,42062,1.12692e+07
157,157,157,42840,1.16899e+07
138,138,138,38372,1.06699e+07
118,118,118,33403,9.45581e+06
112,112,112,32241,9.2813e+06
95,95,95,27841,8.15936e+06
80,80,80,23822,7.09376e+06
93,93,93,28191,8.54571e+06
86,86,86,26478,8.15231e+06
77,77,77,24097,7.54128e+06
76,76,76,24178,7.69196e+06
58,58,58,18738,6.05379e+06
57,57,57,18698,6.13371e+06
62,62,62,20645,6.8746e+06
51,51,51,17228,5.81978e+06
50,50,50,17148,5.88117e+06
42,42,42,14602,5.0767e+06
41,41,41,14487,5.11893e+06
35,35,35,12531,4.48654e+06
40,40,40,14517,5.26868e+06
30,30,30,11031,4.05614e+06
27,27,27,10067,3.75355e+06
22,22,22,8320,3.14651e+06
21,21,21,8033,3.07286e+06
17,17,17,6588,2.55307e+06
25,25,25,9834,3.86834e+06
27,27,27,10753,4.28254e+06
23,23,23,9279,3.74351e+06
23,23,23,9377,3.82302e+06
14,14,14,5781,2.38716e+06
14,14,14,5843,2.43864e+06
11,11,11,4650,1.96571e+06
22,22,22,9419,4.03266e+06
9,9,9,3895,1.68569e+06
19,19,19,8321,3.6442e+06
14,14,14,6195,2.74131e+06
5,5,5,2238,1.00174e+06
14,14,14,6335,2.86662e+06
11,11,11,5030,2.30009e+06
6,6,6,2776,1.28437e+06
8,8,8,3744,1.7522e+06
10,10,10,4728,2.23542e+06
10,10,10,4778,2.28295e+06
10,10,10,4829,2.33194e+06
7,7,7,3416,1.66703e+06
6,6,6,2960,1.46028e+06
7,7,7,3488,1.73803e+06
8,8,8,4021,2.02107e+06
7,7,7,3552,1.8024e+06
11,11,11,5638,2.88974e+06
10,10,10,5182,2.68532e+06
4,4,4,2096,1.09831e+06
5,5,5,2635,1.38865e+06
5,5,5,2659,1.41406e+06
4,4,4,2154,1.15993e+06
3,3,3,1628,883470
3,3,3,1644,900920
2,2,2,1107,612725
6,6,6,3347,1.86708e+06
2,2,2,1124,631690
3,3,3,1709,973561
3,3,3,1717,982701
2,2,2,1157,669325
