#class tools::histo::h1d
#title total number of detected op
#dimension 1
#axis edges 0 0.9 5.1 10.1 15.1 20.1 25.1 30.1 35.1 40.1 45.1 50.1 55.1 60.1 65.1 70.1 75.1 80.1 85.1 90.1 95.1 100.1 105.1 110.1 115.1 120.1 125.1 130.1 135.1 140.1 145.1 150.1 155.1 160.1 165.1 170.1 175.1 180.1 185.1 190.1 195.1 200.1 205.1 210.1 215.1 220.1 225.1 230.1 235.1 240.1 245.1 250.1 255.1 260.1 265.1 270.1 275.1 280.1 285.1 290.1 295.1 300.1 305.1 310.1 315.1 320.1 325.1 330.1 335.1 340.1 345.1 350.1 355.1 360.1 365.1 370.1 375.1 380.1 385.1 390.1 395.1 400.1 405.1 410.1 415.1 420.1 425.1 430.1 435.1 440.1 445.1 450.1 455.1 460.1 465.1 470.1 475.1 480.1 485.1 490.1 495.1 500.1 505.1 510.1 515.1 520.1 525.1 530.1 535.1 540.1 545.1 550.1 555.1 560.1 565.1 570.1 575.1 580.1 585.1 590.1 595.1 600.1 605.1 610.1 615.1 620.1 625.1 630.1 635.1 640.1 645.1 650.1 655.1 660.1 665.1 670.1 675.1 680.1 685.1 690.1 695.1 700.1 705.1 710.1 715.1 720.1 725.1 730.1 735.1 740.1 745.1 750.1 755.1 760.1 765.1 770.1 775.1 780.1 785.1 790.1 795.1 800.1 805.1 810.1 815.1 820.1 825.1 830.1 835.1 840.1 845.1 850.1 855.1 860.1 865.1 870.1 875.1 880.1 885.1 890.1 895.1 900.1 905.1 910.1 915.1 920.1 925.1 930.1 935.1 940.1 945.1 950.1 955.1 960.1 965.1 970.1 975.1 980.1 985.1 990.1 995.1 1000.1 1005.1 1010.1 1015.1 1020.1 1025.1 1030.1 1035.1 1040.1 1045.1 1050.1 1055.1 1060.1 1065.1 1070.1 1075.1 1080.1 1085.1 1090.1 1095.1 1100.1 1105.1 1110.1 1115.1 1120.1 1125.1 1130.1 1135.1 1140.1 1145.1 1150.1 1155.1 1160.1 1165.1 1170.1 1175.1 1180.1 1185.1 1190.1 1195.1 1200.1 1205.1 1210.1 1215.1 1220.1 1225.1 1230.1 1235.1 1240.1 1245.1 1250.1 1255.1 1260.1 1265.1 1270.1 1275.1 1280.1 1285.1 1290.1 1295.1 1300.1 1305.1 1310.1 1315.1 1320.1 1325.1 1330.1 1335.1 1340.1 1345.1 1350.1 1355.1 1360.1 1365.1 1370.1 1375.1 1380.1 1385.1 1390.1 1395.1 1400.1 1405.1 1410.1 1415.1 1420.1 1425.1 1430.1 1435.1 1440.1 1445.1 1450.1 1455.1 1460.1 1465.1 1470.1 1475.1 1480.1 1485.1 1490.1 1495.1 1500.1 1505.1 1510.1 1515.1 1520.1 1525.1 1530.1 1535.1 1540.1 1545.1 1550.1 1555.1 1560.1 1565.1 1570.1 1575.1 1580.1 1585.1 1590.1 1595.1 1600.1 1605.1 1610.1 1615.1 1620.1 1625.1 1630.1 1635.1 1640.1 1645.1 1650.1 1655.1 1660.1 1665.1 1670.1 1675.1 1680.1 1685.1 1690.1 1695.1 1700.1 1705.1 1710.1 1715.1 1720.1 1725.1 1730.1 1735.1 1740.1 1745.1 1750.1 1755.1 1760.1 1765.1 1770.1 1775.1 1780.1 1785.1 1790.1 1795.1 1800.1 1805.1 1810.1 1815.1 1820.1 1825.1 1830.1 1835.1 1840.1 1845.1 1850.1 1855.1 1860.1 1865.1 1870.1 1875.1 1880.1 1885.1 1890.1 1895.1 1900.1 1905.1 1910.1 1915.1 1920.1 1925.1 1930.1 1935.1 1940.1 1945.1 1950.1 1955.1 1960.1 1965.1 1970.1 1975.1 1980.1 1985.1 1990.1 1995.1 2000.1
#annotation axis_x.title 
#bin_number 403
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
965482,965482,965482,0,0
5544,5544,5544,14661,49601
2934,2934,2934,22859,183833
1848,1848,1848,23795,310157
1284,1284,1284,22911,411393
945,945,945,21652,497972
746,746,746,20808,581912
627,627,627,20668,682596
507,507,507,19309,736319
437,437,437,18778,807782
399,399,399,19132,918168
329,329,329,17472,928532
319,319,319,18504,1.074e+06
308,308,308,19416,1.22457e+06
277,277,277,18820,1.27926e+06
261,261,261,19040,1.38946e+06
241,241,241,18820,1.47021e+06
261,261,261,21671,1.79993e+06
243,243,243,21392,1.88371e+06
223,223,223,20719,1.92544e+06
216,216,216,21148,2.07098e+06
222,222,222,22898,2.36221e+06
231,231,231,24949,2.69508e+06
223,223,223,25214,2.85131e+06
234,234,234,27581,3.25138e+06
226,226,226,27791,3.41786e+06
213,213,213,27242,3.48457e+06
233,233,233,31013,4.12836e+06
224,224,224,30944,4.2751e+06
201,201,201,28749,4.11236e+06
210,210,210,31064,4.5955e+06
197,197,197,30117,4.60464e+06
221,221,221,34915,5.51655e+06
203,203,203,33105,5.39915e+06
204,204,204,34271,5.75775e+06
218,218,218,37707,6.52254e+06
206,206,206,36691,6.53549e+06
201,201,201,36824,6.74671e+06
226,226,226,42466,7.97991e+06
222,222,222,42883,8.28406e+06
219,219,219,43353,8.58251e+06
226,226,226,45885,9.3165e+06
218,218,218,45314,9.41952e+06
207,207,207,44086,9.38968e+06
183,183,183,39887,8.69424e+06
186,186,186,41507,9.26288e+06
182,182,182,41492,9.45963e+06
190,190,190,44243,1.03027e+07
189,189,189,45005,1.0717e+07
193,193,193,46920,1.1407e+07
169,169,169,41898,1.03876e+07
190,190,190,48067,1.21605e+07
208,208,208,53651,1.3839e+07
176,176,176,46298,1.21793e+07
174,174,174,46622,1.24924e+07
165,165,165,45058,1.23047e+07
145,145,145,40301,1.12015e+07
150,150,150,42427,1.20006e+07
169,169,169,48670,1.40167e+07
159,159,159,46618,1.36685e+07
144,144,144,42871,1.27636e+07
135,135,135,40893,1.23872e+07
149,149,149,45903,1.41418e+07
153,153,153,47892,1.49914e+07
130,130,130,41350,1.31527e+07
130,130,130,41980,1.35566e+07
147,147,147,48232,1.58256e+07
170,170,170,56603,1.88468e+07
148,148,148,50031,1.69131e+07
154,154,154,52801,1.81039e+07
121,121,121,42096,1.46455e+07
109,109,109,38473,1.35797e+07
129,129,129,46195,1.65427e+07
122,122,122,44272,1.60659e+07
120,120,120,44152,1.62452e+07
110,110,110,41014,1.52925e+07
123,123,123,46481,1.75652e+07
104,104,104,39832,1.52559e+07
113,113,113,43881,1.70404e+07
103,103,103,40483,1.59116e+07
106,106,106,42200,1.68006e+07
89,89,89,35870,1.4457e+07
108,108,108,44073,1.79857e+07
89,89,89,36768,1.51899e+07
97,97,97,40545,1.69476e+07
89,89,89,37627,1.5908e+07
101,101,101,43214,1.84898e+07
79,79,79,34211,1.48153e+07
79,79,79,34605,1.51585e+07
83,83,83,36760,1.62809e+07
72,72,72,32258,1.44526e+07
93,93,93,42111,1.90683e+07
80,80,80,36644,1.67849e+07
64,64,64,29627,1.37151e+07
80,80,80,37430,1.75127e+07
71,71,71,33584,1.58858e+07
86,86,86,41107,1.96489e+07
67,67,67,32361,1.56305e+07
67,67,67,32697,1.59568e+07
68,68,68,33540,1.65432e+07
74,74,74,36868,1.83684e+07
75,75,75,37750,1.9001e+07
77,77,77,39123,1.98782e+07
63,63,63,32319,1.65798e+07
70,70,70,36265,1.8788e+07
56,56,56,29299,1.53292e+07
62,62,62,32740,1.7289e+07
53,53,53,28241,1.50483e+07
68,68,68,36593,1.9692e+07
73,73,73,39624,2.15078e+07
59,59,59,32326,1.77115e+07
57,57,57,31546,1.74589e+07
61,61,61,34022,1.89755e+07
