#class tools::histo::h1d
#title Total number of detected op
#dimension 1
#axis edges 0 0.9 20.1 40.1 60.1 80.1 100.1 120.1 140.1 160.1 180.1 200.1 220.1 240.1 260.1 280.1 300.1 320.1 340.1 360.1 380.1 400.1 420.1 440.1 460.1 480.1 500.1 520.1 540.1 560.1 580.1 600.1 620.1 640.1 660.1 680.1 700.1 720.1 740.1 760.1 780.1 800.1 820.1 840.1 860.1 880.1 900.1 920.1 940.1 960.1 980.1 1000.1 1020.1 1040.1 1060.1 1080.1 1100.1 1120.1 1140.1 1160.1 1180.1 1200.1 1220.1 1240.1 1260.1 1280.1 1300.1 1320.1 1340.1 1360.1 1380.1 1400.1 1420.1 1440.1 1460.1 1480.1 1500.1 1520.1 1540.1 1560.1 1580.1 1600.1 1620.1 1640.1 1660.1 1680.1 1700.1 1720.1 1740.1 1760.1 1780.1 1800.1 1820.1 1840.1 1860.1 1880.1 1900.1 1920.1 1940.1 1960.1 1980.1 2000.1
#annotation axis_x.title 
#bin_number 103
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
1425767,1.42577e+06,1.42577e+06,0,0
2480561,2.48056e+06,2.48056e+06,2.59686e+07,3.52711e+08
2063637,2.06364e+06,2.06364e+06,6.19287e+07,1.92648e+09
1457601,1.4576e+06,1.4576e+06,7.26781e+07,3.67186e+09
966846,966846,966846,6.74589e+07,4.73854e+09
615859,615859,615859,5.52596e+07,4.97858e+09
384870,384870,384870,4.22243e+07,4.6451e+09
235110,235110,235110,3.04881e+07,3.96129e+09
143700,143700,143700,2.15061e+07,3.22331e+09
86983,86983,86983,1.47569e+07,2.5064e+09
52780,52780,52780,1.00089e+07,1.89975e+09
32061,32061,32061,6.72224e+06,1.41051e+09
19679,19679,19679,4.52211e+06,1.0398e+09
12216,12216,12216,3.04985e+06,7.61833e+08
7788,7788,7788,2.10058e+06,5.66825e+08
4893,4893,4893,1.41812e+06,4.11169e+08
3053,3053,3053,945903,2.93168e+08
2064,2064,2064,680745,2.24591e+08
1352,1352,1352,472954,1.65493e+08
902,902,902,333272,1.23166e+08
614,614,614,239363,9.33326e+07
465,465,465,190368,7.79504e+07
317,317,317,136275,5.85934e+07
225,225,225,101193,4.55178e+07
151,151,151,71048,3.34344e+07
120,120,120,58869,2.8884e+07
85,85,85,43256,2.20153e+07
69,69,69,36587,1.94025e+07
60,60,60,33000,1.8152e+07
33,33,33,18807,1.07194e+07
26,26,26,15292,8.99477e+06
22,22,22,13421,8.18807e+06
27,27,27,16993,1.06957e+07
17,17,17,11038,7.16751e+06
8,8,8,5349,3.57673e+06
3,3,3,2074,1.43389e+06
4,4,4,2866,2.05352e+06
2,2,2,1472,1.08341e+06
4,4,4,3007,2.26076e+06
4,4,4,3088,2.38406e+06
5,5,5,3927,3.0843e+06
0,0,0,0,0
2,2,2,1657,1.37282e+06
2,2,2,1708,1.45868e+06
4,4,4,3473,3.01563e+06
3,3,3,2669,2.37463e+06
1,1,1,912,831744
1,1,1,934,872356
1,1,1,945,893025
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1036,1.0733e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1123,1.26113e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1524,2.32258e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
