#class tools::histo::h1d
#title Total number of detected op
#dimension 1
#axis edges 0 0.9 20.1 40.1 60.1 80.1 100.1 120.1 140.1 160.1 180.1 200.1 220.1 240.1 260.1 280.1 300.1 320.1 340.1 360.1 380.1 400.1 420.1 440.1 460.1 480.1 500.1 520.1 540.1 560.1 580.1 600.1 620.1 640.1 660.1 680.1 700.1 720.1 740.1 760.1 780.1 800.1 820.1 840.1 860.1 880.1 900.1 920.1 940.1 960.1 980.1 1000.1 1020.1 1040.1 1060.1 1080.1 1100.1 1120.1 1140.1 1160.1 1180.1 1200.1 1220.1 1240.1 1260.1 1280.1 1300.1 1320.1 1340.1 1360.1 1380.1 1400.1 1420.1 1440.1 1460.1 1480.1 1500.1 1520.1 1540.1 1560.1 1580.1 1600.1 1620.1 1640.1 1660.1 1680.1 1700.1 1720.1 1740.1 1760.1 1780.1 1800.1 1820.1 1840.1 1860.1 1880.1 1900.1 1920.1 1940.1 1960.1 1980.1 2000.1
#annotation axis_x.title 
#bin_number 103
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
980872,980872,980872,0,0
5059,5059,5059,41014,491182
1569,1569,1569,45828,1.38992e+06
808,808,808,40057,2.01241e+06
510,510,510,35404,2.47417e+06
326,326,326,29287,2.64234e+06
256,256,256,28138,3.10153e+06
147,147,147,19064,2.47742e+06
144,144,144,21799,3.30461e+06
151,151,151,25659,4.36529e+06
176,176,176,33506,6.3848e+06
150,150,150,31488,6.61478e+06
170,170,170,39198,9.04342e+06
204,204,204,50977,1.27457e+07
209,209,209,56592,1.53305e+07
214,214,214,62201,1.80861e+07
242,242,242,75220,2.33879e+07
247,247,247,81717,2.7043e+07
292,292,292,102362,3.58923e+07
319,319,319,118295,4.38783e+07
293,293,293,114440,4.47076e+07
357,357,357,146775,6.03557e+07
354,354,354,152231,6.54758e+07
401,401,401,180645,8.13912e+07
408,408,408,191966,9.03343e+07
369,369,369,180817,8.86165e+07
407,407,407,207727,1.06033e+08
378,378,378,200452,1.06311e+08
389,389,389,214038,1.17782e+08
361,361,361,205856,1.17399e+08
365,365,365,215593,1.27354e+08
361,361,361,220448,1.34631e+08
333,333,333,209973,1.32409e+08
323,323,323,209992,1.36534e+08
265,265,265,177689,1.19154e+08
270,270,270,186339,1.28611e+08
223,223,223,158438,1.12575e+08
202,202,202,147664,1.07951e+08
198,198,198,148533,1.11431e+08
196,196,196,150970,1.16293e+08
193,193,193,152525,1.20545e+08
146,146,146,118218,9.57275e+07
134,134,134,111243,9.23547e+07
113,113,113,96123,8.17703e+07
88,88,88,76566,6.66202e+07
103,103,103,91727,8.16914e+07
84,84,84,76440,6.95633e+07
82,82,82,76292,7.09839e+07
65,65,65,61816,5.87898e+07
52,52,52,50500,4.90448e+07
44,44,44,43606,4.3217e+07
34,34,34,34346,3.46969e+07
35,35,35,36001,3.70313e+07
20,20,20,20999,2.20486e+07
22,22,22,23528,2.51629e+07
21,21,21,22933,2.50446e+07
21,21,21,23332,2.59239e+07
16,16,16,18082,2.04355e+07
10,10,10,11497,1.32184e+07
9,9,9,10518,1.22925e+07
7,7,7,8341,9.93904e+06
8,8,8,9664,1.16742e+07
5,5,5,6168,7.60908e+06
9,9,9,11268,1.41078e+07
9,9,9,11418,1.44859e+07
3,3,3,3865,4.97949e+06
1,1,1,1301,1.6926e+06
2,2,2,2650,3.51127e+06
3,3,3,4039,5.43791e+06
0,0,0,0,0
2,2,2,2766,3.82538e+06
2,2,2,2828,3.99879e+06
3,3,3,4301,6.16623e+06
1,1,1,1446,2.09092e+06
6,6,6,8839,1.30215e+07
3,3,3,4486,6.70809e+06
0,0,0,0,0
2,2,2,3057,4.67266e+06
3,3,3,4641,7.17968e+06
1,1,1,1567,2.45549e+06
2,2,2,3174,5.03715e+06
1,1,1,1610,2.5921e+06
2,2,2,3263,5.3237e+06
0,0,0,0,0
2,2,2,3338,5.57122e+06
3,3,3,5083,8.6123e+06
2,2,2,3412,5.8209e+06
1,1,1,1736,3.0137e+06
4,4,4,7018,1.23131e+07
0,0,0,0,0
0,0,0,0,0
4,4,4,7251,1.31444e+07
1,1,1,1825,3.33062e+06
0,0,0,0,0
2,2,2,3729,6.95272e+06
0,0,0,0,0
0,0,0,0,0
1,1,1,1924,3.70178e+06
3,3,3,5845,1.13882e+07
2,2,2,3937,7.74998e+06
2,2,2,3962,7.84872e+06
88,88,88,268023,9.08226e+08
