#class tools::histo::h1d
#title op from end of detector
#dimension 1
#axis edges 0 0.9 20.1 40.1 60.1 80.1 100.1 120.1 140.1 160.1 180.1 200.1 220.1 240.1 260.1 280.1 300.1 320.1 340.1 360.1 380.1 400.1 420.1 440.1 460.1 480.1 500.1 520.1 540.1 560.1 580.1 600.1 620.1 640.1 660.1 680.1 700.1 720.1 740.1 760.1 780.1 800.1 820.1 840.1 860.1 880.1 900.1 920.1 940.1 960.1 980.1 1000.1 1020.1 1040.1 1060.1 1080.1 1100.1 1120.1 1140.1 1160.1 1180.1 1200.1 1220.1 1240.1 1260.1 1280.1 1300.1 1320.1 1340.1 1360.1 1380.1 1400.1 1420.1 1440.1 1460.1 1480.1 1500.1 1520.1 1540.1 1560.1 1580.1 1600.1 1620.1 1640.1 1660.1 1680.1 1700.1 1720.1 1740.1 1760.1 1780.1 1800.1 1820.1 1840.1 1860.1 1880.1 1900.1 1920.1 1940.1 1960.1 1980.1 2000.1
#annotation axis_x.title 
#bin_number 103
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
999025,999025,999025,0,0
543,543,543,3659,39075
120,120,120,3475,104299
41,41,41,2062,105054
47,47,47,3325,236989
35,35,35,3181,290307
17,17,17,1843,200457
15,15,15,1953,254885
15,15,15,2252,338704
4,4,4,675,113991
7,7,7,1352,261228
5,5,5,1054,222414
3,3,3,687,157385
6,6,6,1509,379667
5,5,5,1365,372819
5,5,5,1437,413119
3,3,3,912,277262
5,5,5,1669,557175
7,7,7,2427,841589
4,4,4,1481,548493
3,3,3,1189,471251
2,2,2,821,337033
5,5,5,2152,926232
2,2,2,893,398765
6,6,6,2806,1.31242e+06
2,2,2,984,484146
0,0,0,0,0
3,3,3,1575,826901
1,1,1,555,308025
5,5,5,2845,1.61899e+06
3,3,3,1765,1.03841e+06
7,7,7,4238,2.56598e+06
1,1,1,633,400689
5,5,5,3239,2.09831e+06
2,2,2,1353,915309
2,2,2,1378,949514
2,2,2,1418,1.00539e+06
2,2,2,1453,1.05566e+06
0,0,0,0,0
1,1,1,775,600625
1,1,1,792,627264
1,1,1,817,667489
2,2,2,1665,1.3862e+06
0,0,0,0,0
4,4,4,3484,3.03471e+06
2,2,2,1783,1.58954e+06
3,3,3,2737,2.49717e+06
3,3,3,2793,2.60044e+06
2,2,2,1905,1.81462e+06
2,2,2,1941,1.88385e+06
0,0,0,0,0
1,1,1,1010,1.0201e+06
1,1,1,1036,1.0733e+06
1,1,1,1049,1.1004e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1145,1.31102e+06
1,1,1,1178,1.38768e+06
1,1,1,1192,1.42086e+06
0,0,0,0,0
2,2,2,2456,3.01599e+06
0,0,0,0,0
1,1,1,1272,1.61798e+06
1,1,1,1282,1.64352e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1541,2.37468e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1661,2.75892e+06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,11562,9.22014e+07
